Cobi_24_1_S54	Cobi_24_2_S55	TNF_24_1_S58	TNF_24_2_S59	UT_24_1_S52	UT_24_2_S53
MIR6727	2	3	5	3	3	2
AL139287.1	43	23	27	34	38	48
CPTP	173	188	148	137	189	177
TAS1R3	1	2	0	0	0	0
DVL1	1200	1072	1825	1859	2346	2333
MIR6808	6	7	2	2	2	7
MXRA8	1	6	2	2	3	1
AURKAIP1	654	687	892	830	1169	1157
NDUFB4P8	0	0	0	1	0	0
CCNL2	1783	1685	1167	1148	1364	1383
MRPL20-AS1	303	307	200	191	261	304
MRPL20	426	426	581	562	634	613
RN7SL657P	8	5	6	3	7	10
AL391244.2	29	41	31	15	22	26
ANKRD65	1	1	0	0	0	1
AL391244.1	0	0	0	0	0	0
TMEM88B	1	0	0	0	0	0
LINC01770	25	32	12	5	18	25
VWA1	471	422	187	157	273	288
ATAD3C	8	6	4	5	8	3
ATAD3B	252	300	513	528	563	587
AL645728.2	3	4	5	2	3	7
ATAD3A	331	371	1164	1013	1102	1169
TMEM240	16	10	5	4	5	6
SSU72	918	925	717	742	970	971
AL645728.1	6	7	4	6	10	9
AL691432.3	0	0	0	0	0	0
FNDC10	65	90	39	31	72	80
AL691432.4	19	16	7	12	24	24
AL691432.2	20	31	15	17	27	22
MIB2	675	622	404	424	555	530
MMP23B	1	1	1	0	2	2
CDK11B	425	369	668	583	668	695
FO704657.1	4	1	0	3	0	1
SLC35E2B	937	1053	521	492	599	624
AL691432.1	0	0	0	0	0	0
MMP23A	1	1	1	0	0	0
CDK11A	222	311	321	290	285	345
AL031282.2	313	412	365	332	340	405
AL031282.1	2	1	0	2	0	0
SLC35E2A	345	343	174	170	200	202
NADK	595	641	864	834	892	957
GNB1	4583	4643	6436	6270	6646	7153
AL109917.1	1	1	1	1	1	0
CALML6	10	8	3	2	8	4
TMEM52	79	63	85	90	132	127
CFAP74	72	58	23	32	52	44
AL391845.2	0	3	0	0	6	1
GABRD	125	119	146	122	217	216
AL391845.1	0	0	2	0	0	1
PRKCZ	628	593	317	336	451	499
AL590822.2	2	0	0	0	0	0
PRKCZ-AS1	9	6	5	3	7	6
FAAP20	352	366	298	313	448	466
AL590822.1	1	2	0	0	2	0
SKI	1086	1110	748	698	829	967
AL590822.3	4	7	2	3	3	3
MORN1	103	139	66	61	127	119
AL589739.1	0	0	0	0	0	1
AL513477.1	26	30	7	9	18	19
AL513477.2	3	2	4	0	3	6
RER1	945	1037	1145	1200	1312	1433
PEX10	273	284	232	205	277	272
PLCH2	48	57	18	19	27	21
AL139246.1	0	0	0	0	0	0
AL139246.4	0	0	0	0	0	0
PANK4	165	165	272	289	303	339
HES5	0	0	0	0	0	0
AL139246.5	11	6	8	12	17	11
TNFRSF14-AS1	0	0	0	0	1	0
TNFRSF14	2	1	0	0	0	0
AL139246.2	0	0	0	0	0	0
AL139246.3	0	0	0	0	0	0
PRXL2B	385	350	300	286	297	342
MMEL1	42	25	10	8	30	23
MMEL1-AS1	0	0	0	0	0	0
TTC34	1	3	0	0	7	5
AC242022.2	0	0	0	0	0	0
AC242022.1	0	0	0	0	0	0
AL592464.2	0	0	0	0	0	0
AL592464.3	0	0	0	0	0	0
AL592464.1	0	0	0	0	0	0
AL589702.1	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
PRDM16-DT	11	8	6	3	13	9
PRDM16	83	69	155	142	165	146
MIR4251	0	0	0	0	0	0
AL008733.1	0	0	0	0	0	0
AL512383.1	0	0	0	0	0	0
AL590438.1	0	0	0	0	0	0
AL354743.2	0	0	0	0	0	0
AL354743.1	0	0	0	0	0	0
ARHGEF16	431	431	317	319	544	515
AL512413.1	0	1	0	1	0	0
MEGF6	1103	1023	233	245	347	366
MIR551A	0	0	0	0	0	0
AL513320.1	1	4	1	0	4	4
TPRG1L	939	948	325	261	389	474
WRAP73	337	337	447	420	510	534
TP73	213	219	197	211	327	347
AL136528.1	1	1	0	0	0	0
AL136528.2	0	0	0	0	0	0
TP73-AS1	1	0	1	2	0	0
AL136528.3	0	0	0	0	0	0
CCDC27	0	0	0	0	0	0
SMIM1	26	25	9	6	14	8
LRRC47	579	593	539	475	646	658
RN7SL574P	0	3	0	1	1	1
AL365330.1	5	3	0	0	0	2
CEP104	444	398	373	353	471	463
DFFB	120	120	120	92	107	168
C1orf174	180	190	342	335	336	413
LINC01134	1	4	2	2	5	5
LINC01346	0	0	0	0	0	0
LINC01345	0	0	0	0	0	0
LINC02780	0	0	0	0	0	1
AL805961.1	0	0	0	0	0	0
EEF1DP6	0	0	0	0	0	0
LINC01777	0	0	0	0	0	0
AL355602.1	0	0	0	0	0	0
Z98747.1	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0
Z98886.1	0	0	0	0	0	0
BX005132.1	0	0	0	0	0	0
LINC02781	0	0	0	0	0	0
LINC02782	0	0	0	0	0	0
AL139823.1	1	0	0	0	0	0
Z98259.3	0	0	0	0	0	0
Z98259.2	0	0	0	0	0	0
Z98259.1	0	0	0	0	0	0
Z97988.2	0	0	0	0	0	0
AL365255.1	0	0	0	0	0	0
Z97988.1	0	0	0	0	0	0
MIR4689	0	0	0	0	1	1
NPHP4	236	193	206	241	264	283
KCNAB2	321	317	184	196	221	242
CHD5	253	213	320	298	332	371
AL031847.2	4755	4954	4912	4735	5083	5855
RPL22	6175	6441	6091	5915	6470	7428
AL031847.1	7	5	14	13	14	14
RNF207	366	317	469	407	270	247
ICMT	924	903	1407	1374	1591	1797
LINC00337	6	11	21	31	23	33
HES3	0	0	0	0	0	0
GPR153	194	168	64	67	98	86
ACOT7	663	685	1240	1275	1757	1831
AL031848.2	2	1	2	1	3	3
HES2	270	279	161	146	157	164
ESPN	979	979	359	408	673	650
MIR4252	0	0	0	0	0	0
AL031848.1	0	2	0	0	0	0
TNFRSF25	192	169	104	102	114	143
PLEKHG5	666	577	394	437	458	490
NOL9	502	486	535	480	527	612
RNU6-731P	0	0	0	0	0	0
AL591866.1	0	0	1	0	0	1
TAS1R1	0	0	1	0	1	1
ZBTB48	160	225	170	173	255	228
KLHL21	468	492	606	588	411	479
PHF13	442	426	544	549	636	687
THAP3	157	143	184	173	193	233
DNAJC11	794	777	826	789	982	1030
LINC01672	0	0	0	0	0	0
AL591163.1	0	0	0	0	0	0
CAMTA1-DT	3	4	4	4	3	3
CAMTA1	316	306	430	424	383	503
AL590128.1	0	0	0	0	0	0
AL512330.1	0	0	0	0	0	0
RNU1-8P	0	0	0	0	0	0
CAMTA1-IT1	0	1	0	1	0	0
CAMTA1-AS2	0	0	0	0	0	0
CAMTA1-AS1	0	0	0	0	0	0
AL359881.3	0	1	0	1	1	0
AL359881.2	0	1	2	0	1	0
AL359881.1	6	2	2	3	1	2
VAMP3	1312	1376	1364	1319	1380	1704
Z98884.2	6	4	1	2	6	6
PER3	183	178	86	77	130	139
Z98884.1	0	0	0	0	0	1
UTS2	27	18	40	29	21	29
TNFRSF9	1	4	681	732	12	7
AL009183.1	0	0	0	0	0	0
PARK7	1707	1789	2463	2367	2557	2738
AL034417.1	0	0	0	0	0	0
AL034417.5	1	5	8	0	0	6
AL034417.4	0	1	1	1	1	3
ERRFI1	6403	6343	23353	26153	22250	24511
AL034417.3	21	17	12	12	23	26
AL034417.2	0	0	0	0	0	0
AL358876.1	5	2	9	15	6	16
LINC01714	11	5	15	19	18	18
RNU1-7P	0	0	0	0	0	0
AL358876.2	0	0	0	0	0	0
RNU6-991P	0	0	0	0	0	1
SLC45A1	175	147	190	199	303	259
AL356072.1	0	0	4	0	1	0
RERE	717	796	566	595	773	866
RERE-AS1	0	0	0	0	1	0
AL096855.1	1	0	0	0	0	0
AL096855.2	0	0	0	0	0	0
RPL7P11	0	0	0	0	0	0
RPL7P7	1	1	0	1	1	0
AL357552.1	0	0	0	0	0	0
AL357552.2	0	0	0	0	0	0
AL357552.3	0	0	77	0	0	4
RPL23AP19	0	0	0	0	0	0
ENO1	19181	21005	37068	38400	42962	49822
MIR6728	5	3	4	6	2	11
ENO1-AS1	3	6	6	5	3	4
RNU6-304P	0	0	0	0	0	0
HMGN2P17	0	0	0	0	0	0
AL139415.1	0	0	0	0	0	0
AL139415.2	0	0	0	0	0	0
CA6	0	0	0	0	0	0
RN7SL451P	0	0	0	0	0	0
SLC2A7	3	2	2	0	1	2
SLC2A5	5	5	0	0	0	0
AL158048.1	0	0	0	0	0	0
GPR157	137	186	151	144	117	149
MIR34AHG	57	40	34	28	45	58
MIR34A	2	1	1	2	3	3
LNCTAM34A	23	16	2	4	11	7
H6PD	1210	1192	696	785	1115	1026
SPSB1	301	288	256	262	203	236
BX323043.1	3	0	0	0	0	0
LINC02606	11	13	6	2	3	4
RNA5SP40	0	0	0	0	0	0
AL928921.1	0	0	0	0	0	0
SLC25A33	238	189	367	354	335	380
AL954705.1	2	6	1	1	4	4
TMEM201	154	129	255	221	220	309
PIK3CD	326	283	236	249	207	256
PIK3CD-AS1	0	0	0	0	0	0
AL691449.1	0	0	0	0	0	0
PIK3CD-AS2	73	84	57	32	66	65
CLSTN1	3639	3875	2499	2386	3483	3587
MZT1P1	0	0	0	0	0	0
AL357140.3	0	0	0	0	1	0
CTNNBIP1	430	397	295	325	376	418
AL357140.1	0	0	0	0	0	0
AL357140.4	0	0	0	0	0	0
LZIC	444	417	500	472	496	642
AL357140.2	3	0	4	0	6	2
NMNAT1	257	334	223	215	245	282
RN7SKP269	1	1	6	1	1	3
TMEM274P	1	0	0	0	1	1
MIR5697	1	0	0	0	1	0
AL603962.1	46	76	42	33	42	44
RBP7	278	268	281	254	320	321
UBE4B	1173	1280	1172	1049	1355	1543
AL590639.1	0	0	0	0	0	0
PGAM1P11	0	0	0	0	2	0
RNU6-828P	0	0	0	0	1	0
KIF1B	1060	1137	1955	1897	1789	1884
AL358013.1	0	0	0	0	0	0
RNU6-37P	0	0	1	1	2	0
RN7SL731P	10	5	12	6	10	5
AL139424.3	0	0	0	0	0	0
AL139424.2	9	7	12	8	8	8
PGD	2039	2257	2410	2319	2654	2899
AL139424.1	0	2	0	0	0	0
CENPS-CORT	113	125	166	141	176	193
CENPS	117	126	174	153	183	199
CORT	7	10	11	8	13	17
DFFA	1111	1149	1453	1378	1659	1800
AL354956.1	0	0	0	0	0	0
PEX14	292	305	359	308	426	408
AL139423.2	0	0	0	0	0	0
RN7SL614P	0	0	0	1	1	0
CASZ1	154	136	152	128	126	139
AL139423.1	0	0	0	0	0	0
HSPE1P24	0	0	0	0	0	0
C1orf127	2	2	1	0	0	1
CFL1P6	0	0	0	0	0	0
TARDBP	1569	1482	2241	2058	2075	2672
AL109811.3	900	897	1265	1158	1244	1530
MASP2	0	2	1	0	0	2
AL109811.2	20	23	12	9	16	27
SRM	386	393	750	644	838	821
EXOSC10	862	919	1393	1261	1615	1585
AL109811.1	3	0	2	1	2	1
EXOSC10-AS1	5	3	1	2	5	4
MTOR	1073	1120	1729	1553	1699	1736
MTOR-AS1	0	0	0	0	0	0
RNU6-537P	0	0	0	0	0	0
ANGPTL7	0	0	0	0	0	0
RNU6-291P	0	0	0	0	0	0
RPL39P6	0	0	0	0	0	0
UBIAD1	262	260	283	286	303	274
UBE2V2P3	0	0	0	0	0	0
AL031291.1	0	0	0	0	0	0
MTCYBP45	0	0	0	0	0	0
DISP3	47	53	20	14	30	32
AL590989.1	0	0	0	0	0	0
LINC01647	0	0	1	0	0	3
AL031731.1	0	0	0	0	0	1
FBXO2	1518	1399	422	442	744	754
FBXO44	446	421	269	225	405	397
FBXO6	163	178	275	241	276	352
MAD2L2	332	327	529	579	916	918
DRAXIN	49	34	13	15	27	22
AGTRAP	370	363	333	304	395	387
C1orf167	14	14	2	0	1	3
C1orf167-AS1	0	0	0	0	0	0
MTHFR	882	903	201	222	442	388
CLCN6	187	213	170	213	238	261
AL021155.2	4	9	3	6	6	7
AL021155.3	6	3	4	4	6	4
NPPA	0	0	0	0	0	0
AL021155.1	3	1	4	1	3	4
NPPB	0	0	0	0	0	0
SBF1P2	0	0	0	0	0	0
AL021155.4	3	5	4	5	9	4
RNU5E-1	1	2	0	3	2	3
RNU5E-4P	0	0	3	1	0	5
KIAA2013	1020	971	803	819	1240	1440
PLOD1	2781	2905	3029	3360	5030	5613
AL096840.3	0	0	0	0	0	0
MFN2	1245	1251	2298	2066	2400	2476
AL096840.2	0	0	0	0	0	0
MIIP	190	172	220	215	313	294
AL096840.1	0	0	0	0	0	0
MIR6729	1	1	0	0	0	0
RN7SL649P	0	0	0	0	0	0
TNFRSF8	1	1	1	1	4	3
RNU6-777P	0	0	1	0	0	0
RPL23AP89	0	0	1	0	0	0
AL357835.1	0	0	0	0	0	1
MIR7846	0	0	0	0	0	0
TNFRSF1B	0	1	6	4	4	7
MIR4632	0	0	0	0	0	0
RPL10P17	0	0	0	0	0	0
AL031276.1	0	0	0	0	0	0
VPS13D	1395	1440	980	962	1334	1364
SNORA59A	1	1	1	2	3	1
LINC02766	0	3	0	0	1	1
DHRS3	1321	1372	550	544	1379	1507
RNU6ATAC18P	6	7	2	1	5	7
MIR6730	1	2	0	1	1	5
AC254633.1	94	97	15	10	57	74
AADACL4	0	0	0	0	0	0
AC244670.1	0	0	0	0	0	0
AADACL3	0	1	0	0	0	0
C1orf158	0	0	0	0	0	0
PRAMEF12	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0
LINC01784	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0
PRAMEF30P	0	0	0	0	0	0
HNRNPCL1	0	0	0	0	1	0
PRAMEF2	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0
PRAMEF10	0	0	1	0	0	0
PRAMEF7	0	0	0	0	0	0
RNU6-1072P	0	0	0	0	0	0
PRAMEF29P	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0
PRAMEF28P	0	0	0	0	0	0
PRAMEF27	0	0	0	0	0	0
HNRNPCL3	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0
PRAMEF34P	0	0	0	0	0	0
PRAMEF35P	0	0	0	0	0	0
HNRNPCL2	0	0	0	1	1	0
PRAMEF36P	0	0	0	0	0	0
AC245056.1	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0
HNRNPCL4	0	0	0	1	1	0
PRAMEF9	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0
PRAMEF31P	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0
PRAMEF32P	0	0	0	0	0	0
RNU6-771P	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0
PRAMEF33	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0
AC243961.1	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0
PRAMEF19	1	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0
LRRC38	0	0	0	0	0	0
AL354712.1	0	0	0	0	0	0
BRWD1P1	0	0	0	0	0	0
PDPN	1	1	0	1	0	0
RNA5SP41	0	0	0	0	0	0
AL359771.1	0	0	0	0	0	0
AL359771.2	0	0	0	0	0	0
PRDM2	304	286	220	239	235	240
KAZN	269	271	212	184	204	208
RNU6-1265P	0	0	0	0	0	0
AL357873.1	0	0	0	0	0	0
KAZN-AS1	0	0	0	0	0	0
TBCAP2	0	0	0	0	0	0
AL031293.1	0	0	0	0	0	0
TMEM51-AS1	81	99	54	62	45	38
TMEM51	269	282	254	245	227	247
C1orf195	0	0	0	0	0	0
MFFP1	0	0	0	0	0	0
ZBTB2P1	2	0	1	0	1	1
FHAD1	118	128	88	94	120	111
FHAD1-AS1	1	1	0	0	0	0
AL031283.2	1	0	0	0	0	0
AL031283.1	1	0	2	2	2	1
EFHD2	946	1031	2162	2288	950	1160
CTRC	0	1	0	0	1	0
CELA2A	0	0	0	0	0	0
CELA2B	0	0	0	0	0	0
CASP9	208	236	173	196	197	206
DNAJC16	801	798	517	558	602	685
SCARNA21B	0	0	0	0	0	2
AL121992.3	0	0	0	0	0	0
AGMAT	0	0	0	0	0	0
AL121992.1	0	0	0	0	0	0
CHCHD2P6	1	1	2	0	3	2
RNU7-179P	0	0	0	0	0	0
CD24P1	0	0	0	0	0	0
DDI2	859	875	850	816	777	887
RSC1A1	209	227	203	176	177	220
AL121992.2	0	1	0	0	1	0
PLEKHM2	620	676	781	768	853	757
AL450998.3	0	0	0	0	0	0
SLC25A34	4	7	4	5	8	4
SLC25A34-AS1	0	0	0	0	0	0
TMEM82	0	0	0	0	0	0
FBLIM1	69	88	35	45	57	46
RPL12P14	0	0	0	0	0	0
UQCRHL	78	74	126	87	126	141
AL450998.1	1	2	1	3	2	5
AL450998.2	14	9	11	19	25	35
SPEN	1535	1585	2447	2454	2311	2526
AL034555.1	0	0	0	0	0	0
ZBTB17	259	263	358	333	385	359
AL355994.4	0	0	0	0	0	0
AL355994.1	0	0	0	0	0	0
AL355994.5	0	0	0	0	0	0
TBC1D3P6	0	0	0	0	0	0
SRARP	0	0	0	0	0	0
AL355994.3	0	0	0	0	0	0
HSPB7	0	0	0	0	0	0
CLCNKA	12	11	0	2	2	2
AL355994.2	12	7	27	13	17	21
CLCNKB	32	17	4	6	10	12
FAM131C	45	52	105	85	128	112
EPHA2	223	252	4330	4763	3551	3322
AL451042.2	1	3	16	10	16	10
AL451042.1	1	1	13	11	8	9
ARHGEF19-AS1	0	0	0	0	0	0
ARHGEF19	547	490	573	628	695	743
ANO7L1	23	30	15	9	19	16
AL109627.1	61	76	93	82	78	76
CPLANE2	46	56	68	63	60	60
MT1XP1	0	0	4	1	2	4
FBXO42	410	389	505	511	559	643
SZRD1	2522	2503	3052	3151	3320	3720
RPL22P3	0	0	0	0	0	1
SPATA21	3	2	0	3	0	0
NECAP2	626	595	550	561	581	600
LINC01772	19	20	5	17	9	5
CROCCP3	76	74	42	35	77	63
RNU1-1	1	2	1	0	0	1
AL137802.2	2	1	4	3	5	3
AL137802.3	2	2	4	4	4	3
AL137802.1	0	0	1	0	0	0
LINC01783	5	2	1	1	3	0
RNU1-6P	0	0	1	0	0	0
AL355149.1	2	0	0	0	0	0
NBPF1	1094	1125	697	706	1141	1036
AL137798.1	0	0	0	0	0	0
CROCCP2	282	277	288	286	358	377
AL137798.3	32	23	31	34	38	35
MST1P2	195	200	108	98	145	171
AL137798.2	0	3	0	1	1	6
RNU1-3	1	0	0	0	0	0
AL021920.2	97	108	28	36	75	72
EIF1AXP1	111	111	176	142	136	172
ESPNP	135	131	44	40	86	100
AL021920.1	1	2	2	0	3	3
AL021920.3	2	2	1	4	3	6
CROCC	372	341	174	188	279	279
CROCCP4	0	1	1	2	2	4
RNU1-4	0	0	1	0	0	0
MST1L	71	60	34	28	58	56
BX284668.1	0	0	0	0	0	0
BX284668.3	2	2	1	1	3	2
MIR3675	0	0	0	0	0	0
BX284668.2	6	9	8	6	6	7
RNU1-5P	0	2	3	2	1	1
BX284668.5	0	0	1	1	1	0
BX284668.4	0	0	0	0	0	0
RNU1-2	1	1	0	1	1	0
BX284668.6	0	0	0	1	0	0
MFAP2	609	645	305	282	445	472
AL049569.2	1	0	0	0	0	0
AL049569.1	0	1	0	0	0	0
ATP13A2	420	378	581	615	806	805
SDHB	718	781	1280	1221	1409	1558
PADI2	127	121	36	35	79	70
LINC02783	2	0	0	1	0	0
AL590644.1	0	0	0	0	0	0
PADI1	1	2	0	0	0	0
PADI3	38	29	17	13	35	17
MIR3972	0	0	0	0	0	0
PADI4	0	0	1	0	1	3
PADI6	0	0	0	0	0	0
RCC2-AS1	1	1	0	0	0	0
RCC2	3186	3314	3972	3867	4430	4504
ARHGEF10L	373	366	192	253	322	293
LINC02810	0	0	0	0	0	0
ACTL8	0	2	3	3	7	7
AL357509.1	0	0	0	0	0	0
LINC01654	0	0	0	0	0	0
IGSF21	0	0	0	0	0	0
AL365209.1	0	0	0	0	0	0
IGSF21-AS1	0	0	0	0	0	0
AL591896.1	0	0	0	0	0	0
KLHDC7A	26	34	4	1	6	1
DYNLL1P3	0	0	0	0	0	0
AL031737.1	0	0	0	0	0	0
PAX7	7	2	0	0	2	1
TAS1R2	0	0	0	0	0	0
ALDH4A1	485	468	180	176	277	270
MIR4695	0	1	0	0	0	0
MIR1290	0	1	0	0	0	0
IFFO2	351	378	535	458	294	387
AL137127.1	109	104	142	139	129	181
UBR4	3198	3371	4912	4602	4814	4956
EMC1-AS1	4	4	1	9	4	8
EMC1	1478	1537	1761	1666	1967	2054
MRTO4	518	544	1197	1096	1190	1353
AL035413.2	0	0	0	0	0	0
AKR7L	16	7	9	3	9	10
AKR7A3	6	10	8	3	9	27
AL035413.1	0	0	0	0	0	0
AKR7A2	665	622	466	448	728	705
RNU6-1099P	1	0	0	1	0	2
SLC66A1	77	98	86	103	103	122
CAPZB	1953	2035	2056	2091	2284	2567
RN7SL277P	0	0	0	0	0	0
MICOS10	306	338	480	404	486	540
RNU4-28P	0	0	0	0	0	0
AL031727.2	0	0	0	0	0	1
NBL1	633	636	1272	1222	1163	1320
MICOS10-NBL1	419	429	740	655	713	801
AL031727.1	9	18	24	11	25	35
HTR6	15	12	19	24	26	35
TMCO4	233	235	145	143	200	219
RNF186	0	0	0	0	0	0
AL391883.1	0	0	0	0	0	0
OTUD3	268	252	371	371	445	499
PLA2G2E	0	0	0	0	0	0
RN7SL304P	0	0	0	0	0	0
PLA2G2A	0	0	0	0	0	0
PLA2G5	0	0	0	0	0	0
PLA2G2D	0	0	0	0	0	1
PLA2G2F	0	1	0	0	0	0
Z98257.1	0	0	0	0	0	0
PLA2G2C	0	0	0	0	0	0
UBXN10-AS1	0	0	0	0	0	0
UBXN10	1	0	0	0	0	0
LINC01757	0	0	0	0	0	0
Z98257.2	0	0	0	0	0	0
VWA5B1	0	0	0	0	0	0
AL020998.1	0	0	0	0	0	0
LINC01141	0	2	0	0	0	0
AL139254.1	0	0	0	0	0	0
AL139254.2	0	0	0	0	0	0
AL139254.3	1	0	0	0	0	0
CAMK2N1	236	224	303	345	325	371
MUL1	364	339	341	332	361	409
RPS4XP4	0	0	0	1	0	0
FAM43B	0	0	0	0	0	0
CDA	347	292	314	345	201	229
PINK1	900	839	854	839	673	651
MIR6084	40	42	43	36	47	24
PINK1-AS	1427	1461	918	897	1180	1386
DDOST	7093	7359	5092	4966	6726	7352
KIF17	54	44	11	17	27	17
AL663074.2	0	0	0	0	0	0
SH2D5	103	103	208	204	113	136
AL663074.1	0	0	0	0	0	0
HP1BP3	3084	3160	3435	3492	4048	4717
EIF4G3	717	789	986	943	1102	1090
RNU7-200P	0	0	0	0	0	0
MIR1256	0	0	0	0	0	0
RPS15AP6	0	1	0	0	0	0
AL627311.1	0	0	0	0	0	0
HSPE1P27	0	0	0	0	0	0
AL031005.2	1	0	0	0	0	0
ECE1	1488	1514	2449	2548	1876	1864
AL031005.1	0	0	0	0	0	0
ECE1-AS1	1	0	0	1	0	2
PPP1R11P1	0	0	0	0	0	0
AL592309.1	0	0	0	0	0	0
AL592309.2	0	0	0	0	0	0
NBPF2P	13	8	14	11	18	21
HS6ST1P1	7	1	1	6	2	1
CROCCP5	0	4	1	2	0	1
NBPF3	236	268	256	261	317	367
PFN1P10	0	0	0	0	0	0
ALPL	14	11	7	2	6	11
LINC02596	0	0	0	0	0	0
RAP1GAP	285	287	313	303	419	413
USP48	840	854	1054	1041	1130	1169
AL590103.1	0	0	0	0	0	0
LDLRAD2	3	1	0	0	0	1
HSPG2	2689	2726	1033	1154	994	1015
AL590556.1	0	0	0	0	0	0
AL590556.2	1	2	2	0	0	0
CELA3B	0	0	0	0	0	0
AL590556.3	40	48	78	81	127	111
RN7SL386P	0	0	0	0	0	0
RNU6-1022P	0	0	0	0	0	0
CELA3A	0	0	0	0	0	0
RN7SL186P	0	0	0	0	0	0
RNU6-776P	0	0	0	0	0	0
LINC01635	4	3	2	1	6	2
LINC00339	90	79	138	139	233	176
