geneNames	baseMean.cobi	log2FoldChange.cobi	padj.cobi	baseMean.tnf	log2FoldChange.tnf	padj.tnf	bubbleSize
FANCA	823.916214633322	-2.42680340863481	9.1129508749059e-90	823.916214633322	-0.0480224732393879	0.790692453166477	1
UNC13A	809.419146312977	-2.43481552435847	1.47657760748771e-89	809.419146312977	-0.0419641408957038	0.822047961843363	1
MELK	1052.07135435126	-2.16451599623523	2.37150043597764e-89	1052.07135435126	0.186517941152087	0.104563565785305	1
KIF14	973.124843185645	-2.20988577898149	2.23218972489185e-88	973.124843185645	0.108880775422247	0.427952001903528	1
RGS2	615.840883980013	2.4448300521586	2.40325053441205e-88	615.840883980013	-0.15455829025148	0.36087424387077	1
LAMB2	1816.10323166059	1.75163132289935	3.03119156364373e-88	1816.10323166059	-0.26693939226885	0.0133770022553764	1
MTUS1	3345.16377178454	1.33667488609451	6.92424515197455e-88	3345.16377178454	-0.418503452247613	2.33275558322338e-08	1
NUSAP1	1897.13857634512	-1.92800315273677	1.20640353267951e-87	1897.13857634512	0.190078180882112	0.0860464922032322	1
CDCA5	815.982833440298	-2.67540751916041	1.83245452175149e-87	815.982833440298	0.136882724060405	0.354441937056981	1
SKA1	559.545709876058	-3.2857705093993	2.59020886291363e-87	559.545709876058	0.168033544729967	0.257497075291396	1
LMNB1	1836.93209133447	-1.76906474699232	6.52144242903713e-87	1836.93209133447	-0.173697116232856	0.0981048375269793	1
PBK	1402.88577912477	-1.96277395238875	1.03325907431176e-86	1402.88577912477	0.105120329681886	0.42330004270581	1
NDC80	770.242684137082	-2.50919836395132	5.7488204179833e-85	770.242684137082	0.00499035055307491	0.986375790258609	1
FTH1	31191.3065116236	1.19701017433358	2.93915899290196e-84	31191.3065116236	-0.418035767327873	1.4314827640839e-10	1
CKAP2L	701.217014685497	-2.61657664442052	3.72870647318668e-84	701.217014685497	0.214825400096946	0.0937810260063567	1
SHCBP1	690.250318932641	-2.62606559915329	4.69990397487743e-84	690.250318932641	-0.00281296380145525	0.990420086665359	1
SPAG5	1174.53564097613	-1.89758927528581	7.53220087313287e-84	1174.53564097613	0.0487516865158266	0.756746241339246	1
HSPG2	1631.07624446348	1.70144665262991	2.8362246042822e-83	1631.07624446348	0.384458192284556	0.000113181327505836	1
AURKB	799.786135349236	-2.5464161429998	2.90778263374004e-83	799.786135349236	0.141501056622723	0.32559961489647	1
TTK	1074.97206943795	-2.22172907823282	3.75512278303033e-83	1074.97206943795	0.296009204573786	0.00895971182962396	1
KRT80	369.445014953953	3.31800923601127	7.55439751102388e-83	369.445014953953	-0.0221059951934823	0.935403598924337	1
PHLDA2	1290.51371914778	-1.93312737749969	1.28807635141557e-82	1290.51371914778	0.11144348681031	0.386794159943304	1
ENO2	1739.47039011432	-2.00582516374235	1.46248957833702e-82	1739.47039011432	-0.184818724660955	0.12724629386902	1
SSRP1	4940.35675327461	-1.20416973862642	1.92091713539343e-82	4940.35675327461	-0.00849904733313411	0.953684483598809	1
CDCA2	823.989079253119	-2.27824299958007	2.41399546505224e-82	823.989079253119	-0.00154528172524901	0.993985317046794	1
CEP55	1356.9794112538	-2.09203262766113	2.88816260966423e-82	1356.9794112538	0.378911748324668	0.000363672616551869	1
DIAPH3	873.974291599328	-2.27556684124348	2.92827467306784e-82	873.974291599328	0.268179129578603	0.0192489373046153	1
SPRED2	947.827527816225	-2.39582995096929	2.93772881083652e-82	947.827527816225	0.011057721148429	0.962316791582848	1
ETV4	440.7199825216	-5.15531128349289	6.25212316068167e-82	440.7199825216	-0.204042490376407	0.186502319245642	1
ASF1B	809.800621738848	-2.23274337156481	6.69330288816441e-82	809.800621738848	-0.132410266165262	0.329723181165963	1
LGALS3BP	4483.45989649153	1.27746279157977	6.79084295867346e-82	4483.45989649153	0.0983104745870542	0.323559865086339	1
TMPO	3308.96985799065	-1.68011068493602	1.42087290033304e-81	3308.96985799065	0.0644500912495562	0.651319532998602	1
FAM3C	4880.69626705148	-1.65430743596505	3.30111007806795e-80	4880.69626705148	0.0132914402168849	0.944617707322336	1
SAMD9	809.047389094871	2.20434516819941	5.62966042428975e-80	809.047389094871	0.715020832904931	2.37557339262988e-08	1
UHRF1	1336.88008932104	-1.89254464895881	9.11644001391822e-80	1336.88008932104	0.203324447288786	0.0627477940395994	1
NEK2	949.236259778724	-2.07945227633337	1.91415671619807e-79	949.236259778724	-0.00857782010930376	0.969777861883307	1
CCNF	939.894375750479	-2.06484662170991	7.25549270009477e-79	939.894375750479	-0.155501162637329	0.218063615647816	1
STIL	835.113019049908	-2.23001105242054	7.9862711351368e-79	835.113019049908	0.0222883687049813	0.915320539907972	1
LDHA	21522.7538326002	-1.38994738660464	8.99260660328929e-79	21522.7538326002	0.0361650224685566	0.801338383442738	1
KIF18B	645.986306978212	-2.56704362952325	5.06943864911036e-78	645.986306978212	0.0110554504078273	0.962926321558941	1
CD44	5600.63711036398	-1.1746913517527	5.09502331148066e-78	5600.63711036398	-0.138438935657698	0.0804063818425663	1
THBS1	385.60136396622	2.98476113710878	2.85553032521813e-77	385.60136396622	0.205889189532102	0.278189648192995	1
WDR76	542.216532039832	-2.8990677007693	9.7232156304468e-77	542.216532039832	0.0959540168835438	0.578116351647997	1
GPSM2	1250.67946303991	-1.94216592711258	1.15901758578666e-76	1250.67946303991	0.0450305711407127	0.811355830027073	1
RTEL1-TNFRSF6B	1250.61418342182	-1.87488604982756	3.22148209116785e-76	1250.61418342182	0.147031439128604	0.221904364841775	1
CDCA8	764.963795182653	-2.24996322119747	4.64465176114815e-76	764.963795182653	0.00912497215372065	0.96858163307015	1
AC087721.2	2185.92341495036	-1.63251092661963	1.14678855156048e-75	2185.92341495036	0.179658318693316	0.0845447292032374	1
TK1	2839.81907328979	-1.30781200829536	1.42487279677754e-75	2839.81907328979	-0.246272883278987	0.00159123015975281	1
PARP14	930.722903795294	1.93429034125667	1.68342614965231e-75	930.722903795294	0.528817389184216	6.80299406914529e-06	1
SLC2A1	2622.8832019215	-1.48380798298437	6.46752258845347e-75	2622.8832019215	-0.707134594006475	3.58167400260359e-18	1
KANK2	1161.66197033467	1.66879969246663	1.02328819294327e-74	1161.66197033467	-0.630920744662473	3.1902487677368e-09	1
CENPE	1198.21832496458	-1.85350014151312	1.08221643468234e-74	1198.21832496458	0.271215074808664	0.0085018120015062	1
NUF2	712.427936371367	-2.42775730075513	1.47804304354399e-74	712.427936371367	0.25115654812688	0.0483295637649488	1
RAD21	8414.57516173653	-1.02917835871663	1.53831851130147e-74	8414.57516173653	0.058268013053777	0.506968473534207	1
ALYREF	2426.62696659527	-1.352408842881	1.6678934220881e-74	2426.62696659527	-0.0443895576584669	0.734641580050292	1
YAP1	1525.63643974193	-1.74545795229909	2.22362635846383e-74	1525.63643974193	0.175957453697166	0.10869010092919	1
EIF5A	10092.9348363719	-1.05736030607723	2.69964797192235e-74	10092.9348363719	0.0722624410039672	0.425562202224712	1
TNFRSF6B	736.497184577385	-2.43426940098456	4.32413026786349e-74	736.497184577385	0.232462790841103	0.0753884949744577	1
HS3ST1	850.149761722477	-2.04049391361588	4.73549904479431e-74	850.149761722477	-0.339504950010719	0.00234032056327642	1
MT-RNR2	200147.751390632	0.862489236947978	6.16015610832394e-74	200147.751390632	0.277794956344879	5.28160043455217e-08	1
NR3C1	886.605014114227	1.88791590128777	4.48367899376286e-73	886.605014114227	0.141977763899102	0.330404185391138	1
CHAF1A	594.034838708485	-2.61084210859227	1.67568616779286e-72	594.034838708485	0.139647431459317	0.357897109578018	1
KIF11	1292.80358520152	-1.96032560313505	2.71129782035941e-72	1292.80358520152	0.0756791613774019	0.633483318197601	1
TACC3	1208.8088053758	-1.71832911149792	2.82613745294299e-72	1208.8088053758	0.0340199917398373	0.845239579701799	1
UBE2T	630.921036083498	-2.44420693985042	4.34865413030156e-72	630.921036083498	0.019304632761718	0.931771117209471	1
FANCD2	854.323498164185	-2.01525622421251	5.04110467546131e-72	854.323498164185	-0.0164199578232984	0.940396975641652	1
DLGAP5	1514.63917195933	-1.85458730432979	1.95983744022699e-71	1514.63917195933	0.15083921502518	0.228028903884421	1
RFC4	541.259514380344	-2.77357881337915	2.62672503716069e-71	541.259514380344	0.0515250260448898	0.799622013580602	1
AURKA	1014.12860584662	-1.95859978543699	4.53176959296738e-71	1014.12860584662	0.0111941846101825	0.958283644932071	1
MT-CYB	35862.791259112	1.18877889007249	4.88978095962137e-71	35862.791259112	0.227735186559639	0.00346402661378399	1
PHC2	1518.29544940455	-1.71603410802717	1.4056958603951e-70	1518.29544940455	-0.200895473372797	0.068361530839622	1
LONP1	2523.04962487467	-1.3486329746215	1.59801640969356e-70	2523.04962487467	0.0563854318638843	0.653602001626096	1
KIF4A	962.232581942781	-1.91347497597833	2.01788952836696e-70	962.232581942781	-0.0265689896135382	0.890851256602197	1
MCM10	462.250860132161	-3.15350137803805	2.21543784142346e-70	462.250860132161	0.262481274282347	0.0705663055532812	1
UBA2	2389.42358449613	-1.42424919501801	2.41264396204928e-70	2389.42358449613	0.135337789774823	0.183249690546907	1
INCENP	1027.41561522777	-1.90056156633811	2.43611245332901e-70	1027.41561522777	0.0172102212320449	0.932854916591427	1
TIAM1	665.940304556544	-2.25200384401464	2.73374451299432e-70	665.940304556544	-0.731942499368986	9.11292212959709e-10	1
DTX3L	692.119490365492	2.16617824250079	3.29985512847624e-70	692.119490365492	1.04284854100035	1.3271858535772e-15	1
ASPM	1334.22747016085	-1.75272357460482	3.82302117609527e-70	1334.22747016085	0.187286338710902	0.0916844644466592	1
SAT1	3750.25720245363	-1.27740182931696	3.99631924299494e-70	3750.25720245363	-0.24874878249938	0.00192718727283968	1
NME1	3295.64962146834	-1.25726657783378	4.75674668557631e-70	3295.64962146834	0.0146039062530819	0.918759816903823	1
FRAS1	2263.378882092	1.36870262503728	4.91133155743844e-70	2263.378882092	0.207827566118514	0.0302825636234098	1
CDCA4	829.720431534907	-2.04830394801905	8.48864596246251e-70	829.720431534907	-0.052240951388472	0.766639770319432	1
S100A4	1817.40698328192	1.37706773950332	9.20262329894185e-70	1817.40698328192	-0.427843975840877	1.70319834955468e-06	1
IFITM3	3653.24977757584	1.22794151200877	3.07089698319887e-69	3653.24977757584	-0.155595060239779	0.0915061011235197	1
SMC1A	2241.32748948678	-1.313868504941	5.13697181110081e-69	2241.32748948678	-0.0183442474033895	0.907980590372743	1
TOP1	4451.10160606995	-1.0992755912381	2.78146061961752e-68	4451.10160606995	-0.303510554956112	5.57814061074813e-06	1
LMNB2	4968.5984169389	-1.07895554014735	7.3923172906673e-68	4968.5984169389	-0.0464615265585043	0.673438738405797	1
DTL	563.505361147308	-3.07901028718329	8.22644543049753e-68	563.505361147308	0.196140354969643	0.230772461647531	1
SLC38A1	5241.3825741852	-1.25487140964147	9.4334821467067e-68	5241.3825741852	0.233043350137406	0.00412416093542593	1
CAV1	8303.34640136703	1.28901851765052	1.03155126148312e-67	8303.34640136703	0.193364138145409	0.0246954881031784	1
WDHD1	750.155816055049	-2.23914784390995	1.76244681672755e-67	750.155816055049	0.184904317308631	0.173207935682819	1
MMS22L	717.738611658526	-2.18786177166042	3.15609856271314e-67	717.738611658526	0.147323875743386	0.290975248862481	1
PKMYT1	435.550452052379	-3.0173956271944	5.2785628484375e-67	435.550452052379	0.0509639111905801	0.809716786699122	1
DDX21	5534.93009784449	-1.02356832762894	5.67720219912894e-67	5534.93009784449	0.523349167985912	4.43127638536543e-19	1
TGFA	1605.50736482367	-1.58658677928213	8.13362459807412e-67	1605.50736482367	0.931842025195401	1.25119218669306e-29	1
POLE	1479.57246902238	-1.55599871065075	8.27663426400481e-67	1479.57246902238	-0.0698579212691997	0.611826636422141	1
MT-ATP6	97326.9871816664	0.89875367739268	1.14570360806547e-65	97326.9871816664	0.355699936941003	5.5864470475059e-11	1
PMAIP1	1467.87502707058	-1.7018186447533	1.78373088483935e-65	1467.87502707058	0.984244422344461	1.39453850987286e-28	1
GPAT3	958.374719941242	-2.05913290460792	1.82914122402054e-65	958.374719941242	0.568933942668552	2.0752157511394e-07	1
CSE1L	3509.83094459145	-1.18099624138931	1.96941406452657e-65	3509.83094459145	0.300015445418985	3.6861913418406e-05	1
CKS1B	1334.22524689696	-1.57337735700527	2.80634528771024e-65	1334.22524689696	0.0486829978250288	0.752537461878635	1
HAS3	1009.51715763685	-1.88724888658351	3.5087910573233e-65	1009.51715763685	0.112403182983858	0.426253793129661	1
MT-ATP8	45760.1988548305	0.880426795370083	3.74342515380792e-65	45760.1988548305	0.418110182769704	6.45365024649332e-15	1
BOP1	1449.45851060996	-1.6271311002684	4.90564374444884e-65	1449.45851060996	0.100321428755257	0.441621199941788	1
PARP9	543.215502668262	2.29130640740265	8.09570879431582e-65	543.215502668262	0.155758088250418	0.373112145107331	1
MCM6	1733.2874997715	-1.51508451740089	1.45532586899337e-64	1733.2874997715	0.0302217210502799	0.858995830720237	1
MARS1	2588.5323807533	-1.75791209225515	2.08184154949382e-64	2588.5323807533	0.212918876140366	0.0855215055790992	1
PRIM1	791.96219426891	-1.98102728682436	2.89973668648991e-64	791.96219426891	0.0504719778447044	0.778124762328863	1
TUBB4B	4978.30112854051	-1.20740705653198	3.04445763261456e-64	4978.30112854051	0.0200278374269441	0.919917982422253	1
NDE1	838.394546308073	-2.1591990866212	8.3513224142284e-64	838.394546308073	0.0668957775047895	0.711636719187237	1
MAN1A1	1841.94137070041	1.40007989442732	8.98519589308402e-64	1841.94137070041	-0.589602880058354	2.40914413708545e-10	1
RECQL4	1106.17790386511	-1.7628812794169	1.30073940944702e-63	1106.17790386511	-0.19089572063649	0.108089697966652	1
PLCD3	1703.74162820621	1.44663872199717	4.37475940863882e-63	1703.74162820621	-0.0762260330796576	0.597336214220811	1
