LTR10	UT_K27ac_rep1	UT_K27ac_rep2	Cobi_K27ac_rep1	Cobi_K27ac_rep2	TNFa_K27ac_rep1	TNFa_K27ac_rep2
chr2:61598458	98.7535865627408	115.685719741596	120.619943106905	83.1013027516529	154.911938025104	199.001713404183
chr2:99503971	43.6479940608799	5.78428598707978	33.6273780782887	25.721831804083	117.381726235517	110.08605422359
chr2:119111560	28.3711961395719	28.9214299353989	14.6205991644733	2.96790366970189	71.0678478568776	60.3356258725447
chr2:138644694	226.423969190814	225.587153496111	122.082003023352	113.769640671906	388.078360207219	449.870894663711
chr3:16101262	271.708763028977	404.900019095584	229.543406882231	239.410896022619	370.511027029115	511.265040288405
chr3:47360143	68.1999907201248	43.3821449030983	48.247977242762	29.6790366970189	95.8218173351159	77.2719419069432
chr3:51901749	51.2863930215339	49.1664308901781	30.703258245394	17.8074220182113	124.568362535651	128.080890010139
chr3:87433482	6.54719910913199	5.78428598707978	10.2344194151313	6.92510856263774	16.7688180336453	19.0533555386983
chr3:127890542	78.0207893838228	28.9214299353989	76.7581456134851	42.5399525990604	117.381726235517	107.969014719291
chr3:195715927	51.8319929472949	75.1957178320371	83.3374152374981	49.4650611616982	63.0826964122846	92.0912184370419
chr4:122786289	34.9183952487039	28.9214299353989	7.31029958223667	16.8181207949774	83.0455750237671	82.5645406676928
chr5:115928578	2720.9068297701	3927.53018522717	3505.28864968248	4469.66292657105	2766.85497555147	3133.21846636373
chr5:115930071	2720.9068297701	3927.53018522717	3505.28864968248	4469.66292657105	2766.85497555147	3133.21846636373
chr5:149187489	196.961573199721	266.07715540567	119.157883190458	87.0585076445888	327.391209228313	298.502570106274
chr6:29845367	42.5567942093579	17.3528579612393	46.7859173263147	19.7860244646793	94.2247870461973	65.6282246332943
chr6:90222667	191.505573942111	115.685719741596	60.6754865325644	61.3366758405057	264.308512816028	268.864017046076
chr7:128701303	24.5519966592449	11.5685719741596	19.737808872039	5.93580733940378	31.1420906339127	35.9896715730968
chr8:6648824	351.911952115844	205.342152541332	169.598950307891	156.309593270966	481.504632108957	376.833031765367
chr9:38170812	271.163163103216	873.427184049046	244.895036004928	160.266798163902	416.824905407754	364.130794739568
chrX:45005875	237.335967706034	306.567157315228	123.5440629398	88.0478088678227	446.369965752748	443.519776150811
chrX:123849985	25.6431965107669	11.5685719741596	6.579269624013	18.7967232414453	23.955454333779	13.7607567779488
