KDM6A_KO_41_S19	KDM6A_KO_51_S21	KDM6A_KO_54_S22	UT_24_1_S52	UT_24_2_S53
MRPL20-AS1	55.6314447536468	96.600978127278	94.7950971507467	101.206058181102	108.753650163999
MRPL20	268.482189898035	205.030647453814	207.364275017258	245.841535964823	219.29601167938
RN7SL657P	0	0	2.96234678596083	2.71433872516367	3.57742270276314
AL391244.2	4.83751693509972	13.8001397324683	16.2929073227846	8.53077885051438	9.30129902718416
ANKRD65	0	0	0	0	0.357742270276314
AL391244.1	0	0	0	0	0
TMEM88B	0	0	0	0	0
LINC01770	7.25627540264959	7.88579413283902	11.8493871438433	6.97972815042086	8.94355675690785
VWA1	101.587855637094	100.543875193697	109.606831080551	105.859210281383	103.029773839578
ATAD3C	4.83751693509972	3.94289706641951	5.92469357192167	3.10210140018705	1.07322681082894
ATAD3B	147.544266520542	151.801537057151	99.238617329688	218.310386038163	209.994712652196
AL645728.2	0	0	1.48117339298042	1.16328802507014	2.5041958919342
ATAD3A	256.388397560285	238.54527251838	291.791158417142	427.314467875766	418.200713953011
TMEM240	4.83751693509972	7.88579413283902	4.44352017894125	1.9388133751169	2.14645362165788
SSU72	546.639413666269	481.03344210318	512.485993971224	376.129794772679	347.367744438301
AL645728.1	0	0	0	3.87762675023381	3.21968043248683
AL691432.3	0	0	0	0	0
FNDC10	14.5125508052992	19.7144853320975	14.8117339298042	27.9189126016834	28.6193816221051
AL691432.4	2.41875846754986	0	4.44352017894125	9.30630420056114	8.58581448663153
AL691432.2	12.0937923377493	13.8001397324683	5.92469357192167	10.4695922256313	7.87032994607891
MIB2	253.969639092736	270.088449049736	306.602892346946	215.208284637976	189.603403246446
MMP23B	0	0	1.48117339298042	0.775525350046762	0.715484540552628
CDK11B	251.550880625186	203.059198920605	262.167690557534	259.025466915618	248.630877842038
FO704657.1	0	1.97144853320975	1.48117339298042	0	0.357742270276314
SLC35E2B	302.344808443733	354.860735977756	423.615590392399	232.269842339005	223.23117665242
AL691432.1	0	0	1.48117339298042	0	0
MMP23A	0	0	0	0	0
CDK11A	123.356681845043	143.915742924312	124.418565010355	110.512362381664	123.421083245328
AL031282.2	128.194198780143	163.63022825641	145.154992512081	131.83930950795	144.885619461907
AL031282.1	0	1.97144853320975	0	0	0
SLC35E2A	65.3064786238463	84.7722869280195	109.606831080551	77.5525350046762	72.2639385958154
NADK	270.900948365585	346.974941844917	393.992122532791	345.884306120856	342.359352654432
GNB1	3262.90517272476	2870.4290643534	3191.9286618728	2577.07073820539	2558.93045928647
AL109917.1	2.41875846754986	1.97144853320975	0	0.387762675023381	0
CALML6	0	0	2.96234678596083	3.10210140018705	1.43096908110526
TMEM52	36.2813770132479	39.4289706641951	22.2176008947063	51.1846731030863	45.4332683250919
CFAP74	33.8626185456981	23.6573823985171	22.2176008947063	20.1636591012158	15.7406598921578
AL391845.2	0	1.97144853320975	1.48117339298042	2.32657605014029	0.357742270276314
GABRD	26.6063431430485	11.8286911992585	20.7364275017258	84.1445004800736	77.2723303796838
AL391845.1	2.41875846754986	0	0	0	0.357742270276314
PRKCZ	215.269503611938	163.63022825641	167.372593406787	174.880966435545	178.513392867881
AL590822.2	0	0	0	0	0
PRKCZ-AS1	4.83751693509972	17.7430367988878	1.48117339298042	2.71433872516367	2.14645362165788
FAAP20	154.800541923191	157.71588265678	183.665500729572	173.717678410475	166.707897948762
AL590822.1	0	0	0	0.775525350046762	0
SKI	321.694876184132	417.947089040468	392.510949139811	321.455257594383	345.936775357196
AL590822.3	2.41875846754986	0	0	1.16328802507014	1.07322681082894
MORN1	41.1188939483477	61.1149045295024	57.7657623262363	49.2458597279694	42.5713301628814
AL589739.1	0	1.97144853320975	0	0	0.357742270276314
AL513477.1	9.67503387019945	9.85724266604877	8.8870403578825	6.97972815042086	6.79710313524996
AL513477.2	0	0	0	1.16328802507014	2.14645362165788
RER1	691.764921719261	573.691523164039	543.590635223813	508.744629630676	512.644673305958
PEX10	137.869232650342	100.543875193697	162.929073227846	107.410260981476	97.3058975151574
PLCH2	4.83751693509972	5.91434559962926	4.44352017894125	10.4695922256313	7.51258767580259
AL139246.1	0	0	0	0	0
AL139246.4	0	0	0	0	0
PANK4	74.9815124940457	98.5724266604877	81.464536613923	117.492090532084	121.27462962367
HES5	0	0	0	0	0
AL139246.5	2.41875846754986	3.94289706641951	1.48117339298042	6.59196547539747	3.93516497303945
TNFRSF14-AS1	0	0	0	0.387762675023381	0
TNFRSF14	0	0	1.48117339298042	0	0
AL139246.2	0	0	0	0	0
AL139246.3	0	0	0	0	0
PRXL2B	84.6565463642452	134.058500258263	136.267952154198	115.165514481944	122.347856434499
MMEL1	2.41875846754986	11.8286911992585	11.8493871438433	11.6328802507014	8.22807221635522
MMEL1-AS1	0	0	0	0	0
TTC34	2.41875846754986	0	0	2.71433872516367	1.78871135138157
AC242022.2	0	0	0	0	0
AC242022.1	0	0	0	0	0
AL592464.2	0	0	0	0	0
AL592464.3	0	0	0	0	0
AL592464.1	0	0	0	0	0
AL589702.1	0	0	0	0	0
ACTRT2	0	0	0	0	0
PRDM16-DT	4.83751693509972	1.97144853320975	4.44352017894125	5.04091477530395	3.21968043248683
PRDM16	99.1690971695443	118.286911992585	69.6151494700796	63.9808413788578	52.2303714603418
MIR4251	0	0	0	0	0
AL008733.1	0	0	0	0	0
AL512383.1	0	0	0	0	0
AL590438.1	0	0	0	0	0
AL354743.2	0	0	0	0	0
AL354743.1	0	0	0	0	0
ARHGEF16	164.475575793391	151.801537057151	122.937391617375	210.942895212719	184.237269192302
AL512413.1	2.41875846754986	1.97144853320975	1.48117339298042	0	0
MEGF6	200.756952806639	309.517419713931	244.393609841769	134.553648233113	130.933670921131
MIR551A	0	0	0	0	0
AL513320.1	0	0	1.48117339298042	1.55105070009352	1.43096908110526
TPRG1L	333.788668521881	429.775780239727	355.4816143153	150.839680584095	169.569836110973
WRAP73	130.612957247693	161.6587797232	137.749125547179	197.758964261924	191.034372327552
TP73	104.006614104644	80.8293898615999	78.5021898279621	126.798394732646	124.136567785881
AL136528.1	0	0	0	0	0
AL136528.2	0	0	0	0	0
TP73-AS1	0	0	0	0	0
AL136528.3	0	0	0	0	0
CCDC27	0	0	0	0	0
SMIM1	4.83751693509972	5.91434559962926	1.48117339298042	5.42867745032733	2.86193816221051
LRRC47	321.694876184132	350.917838911336	276.979424487338	250.494688065104	235.394413841815
RN7SL574P	0	0	2.96234678596083	0.387762675023381	0.357742270276314
AL365330.1	2.41875846754986	1.97144853320975	1.48117339298042	0	0.715484540552628
CEP104	302.344808443733	279.945691715785	234.025396090906	182.636219936012	165.634671137933
DFFB	14.5125508052992	39.4289706641951	39.9916816104713	41.4906062275018	60.1007014064207
C1orf174	89.4940632993449	92.6580810608585	122.937391617375	130.288258807856	147.747557624118
LINC01134	2.41875846754986	0	1.48117339298042	1.9388133751169	1.78871135138157
LINC01346	0	0	0	0	0
LINC01345	0	0	0	0	0
LINC02780	0	0	0	0	0.357742270276314
AL805961.1	0	0	0	0	0
EEF1DP6	0	0	0	0	0
LINC01777	0	0	0	0	0
AL355602.1	0	0	0	0	0
Z98747.1	0	0	0	0	0
LINC01646	0	0	0	0	0
AJAP1	0	0	0	0	0
Z98886.1	0	0	0	0	0
BX005132.1	0	0	0	0	0
LINC02781	0	0	0	0	0
LINC02782	0	0	0	0	0
AL139823.1	0	0	0	0	0
Z98259.3	0	0	0	0	0
Z98259.2	0	0	0	0	0
Z98259.1	0	0	0	0	0
Z97988.2	0	0	0	0	0
AL365255.1	0	0	0	0	0
Z97988.1	0	0	0	0	0
MIR4689	0	1.97144853320975	0	0.387762675023381	0.357742270276314
NPHP4	84.6565463642452	128.144154658634	84.4268833998838	102.369346206173	101.241062488197
KCNAB2	38.7001354807978	92.6580810608585	99.238617329688	85.6955511801672	86.573629406868
CHD5	89.4940632993449	143.915742924312	115.531524652473	128.737208107762	132.722382272512
AL031847.2	2167.20758692468	2836.91443928884	2026.24520159721	1970.99767714384	2094.58099246782
RPL22	3004.09801669693	3651.12268350447	2649.81920004197	2508.82450740127	2657.30958361246
AL031847.1	0	3.94289706641951	0	5.42867745032733	5.0083917838684
RNF207	113.681647974844	92.6580810608585	90.3515769718055	104.695922256313	88.3623407582495
ICMT	643.389752368263	630.863530627121	662.084506662247	616.930415962199	642.862859686536
LINC00337	7.25627540264959	5.91434559962926	4.44352017894125	8.91854152553776	11.8054949191184
HES3	0	0	0	0	0
GPR153	24.1875846754986	72.9435957287609	37.0293348245104	38.0007421522913	30.765835243763
ACOT7	432.957765691425	396.261155175161	540.628288437852	681.29902001608	655.026096875931
AL031848.2	0	0	0	1.16328802507014	1.07322681082894
HES2	50.7939278185471	39.4289706641951	62.2092825051775	60.8787399786708	58.6697323253155
ESPN	280.575982235784	210.944993053444	272.535904308397	260.964280290735	232.532475679604
MIR4252	0	0	0	0	0
AL031848.1	0	0	0	0	0
TNFRSF25	58.0502032211967	80.8293898615999	50.3598953613342	44.2049449526654	51.1571446495129
PLEKHG5	183.82564353379	208.973544520234	272.535904308397	177.595305160708	175.293712435394
NOL9	195.919435871539	226.716581319122	219.213662161102	204.350929737322	218.938269409104
RNU6-731P	0	0	0	0	0
AL591866.1	0	0	0	0	0.357742270276314
TAS1R1	0	0	0	0.387762675023381	0.357742270276314
ZBTB48	96.7503387019945	88.715183994439	75.5398430420013	98.8794821309621	81.5652376229996
KLHL21	198.338194339089	256.288309317268	158.485553048905	159.37045943461	171.358547462354
PHF13	232.200812884787	246.431066651219	189.590194301493	246.61706131487	245.768939679828
THAP3	74.9815124940457	82.8008383948097	62.2092825051775	74.8381962795125	83.3539489743812
DNAJC11	295.088533041083	390.346809575531	339.188706992516	380.78294687296	368.474538384603
LINC01672	0	0	0	0	0
AL591163.1	0	0	0	0	0
CAMTA1-DT	0	1.97144853320975	0	1.16328802507014	1.07322681082894
CAMTA1	193.500677403989	167.573125322829	159.966726441885	148.513104533955	179.944361948986
AL590128.1	0	0	0	0	0
AL512330.1	0	0	0	0	0
RNU1-8P	0	0	0	0	0
CAMTA1-IT1	0	0	1.48117339298042	0	0
CAMTA1-AS2	0	0	0	0	0
CAMTA1-AS1	0	0	0	0	0
AL359881.3	0	0	0	0.387762675023381	0
AL359881.2	0	0	1.48117339298042	0.387762675023381	0
AL359881.1	0	1.97144853320975	0	0.387762675023381	0.715484540552628
VAMP3	650.646027770913	735.350302887239	660.603333269266	535.112491532266	609.592828550839
Z98884.2	2.41875846754986	0	0	2.32657605014029	2.14645362165788
PER3	74.9815124940457	41.4004191974049	39.9916816104713	50.4091477530395	49.7261755684076
Z98884.1	0	0	0	0	0.357742270276314
UTS2	33.8626185456981	9.85724266604877	17.774080715765	8.143016175491	10.3745258380131
TNFRSF9	4.83751693509972	3.94289706641951	5.92469357192167	4.65315210028057	2.5041958919342
AL009183.1	0	0	0	0	0
PARK7	1030.39110717624	954.181090073521	979.055612760056	991.509160034785	979.498336016548
AL034417.1	0	0	1.48117339298042	0	0
AL034417.5	0	0	1.48117339298042	0	2.14645362165788
AL034417.4	0	0	0	0.387762675023381	1.07322681082894
ERRFI1	10773.1502144671	6332.29268866973	9717.97863134452	8627.71951927022	8768.62078674273
AL034417.3	14.5125508052992	9.85724266604877	14.8117339298042	8.91854152553776	9.30129902718416
AL034417.2	0	0	0	0	0
AL358876.1	9.67503387019945	3.94289706641951	7.40586696490209	2.32657605014029	5.72387632442102
LINC01714	4.83751693509972	5.91434559962926	5.92469357192167	6.97972815042086	6.43936086497365
RNU1-7P	0	0	0	0	0
AL358876.2	0	0	0	0	0
RNU6-991P	0	0	0	0	0.357742270276314
SLC45A1	113.681647974844	78.8579413283902	114.050351259492	117.492090532084	92.6552480015653
AL356072.1	0	0	0	0.387762675023381	0
RERE	357.97625319738	360.775081577385	355.4816143153	299.740547793073	309.804806059288
RERE-AS1	0	1.97144853320975	0	0.387762675023381	0
AL096855.1	0	0	0	0	0
AL096855.2	0	0	0	0	0
RPL7P11	0	0	0	0	0
RPL7P7	0	0	0	0.387762675023381	0
AL357552.1	0	0	0	0	0
AL357552.2	0	0	0	0	0
AL357552.3	0	0	0	0	1.43096908110526
RPL23AP19	0	0	0	0	0
ENO1	8289.08526829338	8473.28579573553	8922.58851931403	16659.0600443545	17823.4353897065
MIR6728	0	0	0	0.775525350046762	3.93516497303945
ENO1-AS1	2.41875846754986	1.97144853320975	1.48117339298042	1.16328802507014	1.43096908110526
RNU6-304P	0	0	0	0	0
HMGN2P17	0	0	0	0	0
AL139415.1	0	0	0	0	0
AL139415.2	0	0	0	0	0
CA6	0	0	0	0	0
RN7SL451P	0	0	0	0	0
SLC2A7	0	0	0	0.387762675023381	0.715484540552628
SLC2A5	0	0	0	0	0
AL158048.1	0	0	0	0	0
GPR157	79.8190294291454	53.2291103966634	47.3975485753734	45.3682329777356	53.3035982711708
MIR34AHG	0	5.91434559962926	2.96234678596083	17.4493203760521	20.7490516760262
MIR34A	0	0	0	1.16328802507014	1.07322681082894
LNCTAM34A	0	3.94289706641951	0	4.26538942525719	2.5041958919342
H6PD	744.977608005358	636.777876226751	722.812615774444	432.35538265107	367.043569303498
SPSB1	116.100406442393	82.8008383948097	87.3892301858446	78.7158230297463	84.4271757852101
BX323043.1	2.41875846754986	0	0	0	0
LINC02606	0	1.97144853320975	4.44352017894125	1.16328802507014	1.43096908110526
RNA5SP40	0	0	0	0	0
AL928921.1	0	0	0	0	0
SLC25A33	82.2377878966953	116.315463459376	118.493871438433	129.900496132833	135.942062704999
AL954705.1	4.83751693509972	1.97144853320975	1.48117339298042	1.55105070009352	1.43096908110526
TMEM201	79.8190294291454	94.6295295940682	100.719790722668	85.3077885051438	110.542361515381
PIK3CD	62.8877201562964	82.8008383948097	87.3892301858446	80.2668737298398	91.5820211907364
PIK3CD-AS1	0	0	0	0	0
AL691449.1	0	0	0	0	0
PIK3CD-AS2	29.0251016105983	41.4004191974049	37.0293348245104	25.5923365515431	23.2532475679604
CLSTN1	1301.29205554183	1265.66995832066	1498.94747369618	1350.57739710644	1283.22152348114
MZT1P1	0	0	0	0	0
AL357140.3	0	0	0	0.387762675023381	0
CTNNBIP1	162.056817325841	159.68733118999	139.230298940159	145.798765808791	149.536268975499
AL357140.1	0	0	0	0	0
AL357140.4	0	0	0	0	0
LZIC	278.157223768234	246.431066651219	232.544222697926	192.330286811597	229.670537517394
AL357140.2	2.41875846754986	0	0	2.32657605014029	0.715484540552628
NMNAT1	82.2377878966953	116.315463459376	81.464536613923	95.0018553807283	100.883320217921
RN7SKP269	2.41875846754986	0	0	0.387762675023381	1.07322681082894
TMEM274P	0	0	0	0.387762675023381	0.357742270276314
MIR5697	0	0	0	0.387762675023381	0
AL603962.1	4.83751693509972	17.7430367988878	13.3305605368238	16.286032350982	15.7406598921578
RBP7	128.194198780143	98.5724266604877	131.824431975257	124.084056007482	114.835268758697
UBE4B	416.026456418576	384.432463975902	391.02977574683	525.418424656681	551.996323036352
AL590639.1	0	0	0	0	0
PGAM1P11	0	0	0	0.775525350046762	0
RNU6-828P	0	0	0	0.387762675023381	0
KIF1B	686.927404784161	613.120493828234	746.51139006213	693.707425616828	673.986437200575
AL358013.1	0	0	0	0	0
RNU6-37P	0	0	0	0.775525350046762	0
RN7SL731P	12.0937923377493	5.91434559962926	0	3.87762675023381	1.78871135138157
AL139424.3	0	1.97144853320975	0	0	0
AL139424.2	2.41875846754986	5.91434559962926	1.48117339298042	3.10210140018705	2.86193816221051
PGD	803.027811226554	774.779273551434	984.980306331978	1029.12213951205	1037.09484153103
AL139424.1	0	0	0	0	0
CENPS-CORT	62.8877201562964	47.3147647970341	66.6528026841188	68.246230804115	69.0442581633286
CENPS	70.143995558946	47.3147647970341	65.1716292911384	70.9605695292787	71.1907117849865
CORT	4.83751693509972	5.91434559962926	10.3682137508629	5.04091477530395	6.08161859469734
DFFA	703.85871405701	964.03833273957	833.900620247975	643.298277863789	643.936086497365
AL354956.1	2.41875846754986	0	0	0	0
PEX14	152.381783455641	126.172706125424	124.418565010355	165.18689955996	145.958846272736
AL139423.2	0	0	0	0	0
RN7SL614P	0	0	0	0.387762675023381	0
CASZ1	33.8626185456981	35.4860735977756	37.0293348245104	48.858097052946	49.7261755684076
AL139423.1	0	0	0	0	0
HSPE1P24	0	0	0	0	0
C1orf127	0	0	2.96234678596083	0	0.357742270276314
CFL1P6	0	0	0	0	0
TARDBP	737.721332602708	828.008383948097	731.699656132326	804.607550673515	955.887346178311
AL109811.3	394.257630210627	473.147647970341	411.766203248556	482.376767729086	547.34567352276
MASP2	0	0	0	0	0.715484540552628
AL109811.2	14.5125508052992	11.8286911992585	8.8870403578825	6.20420280037409	9.65904129746048
SRM	302.344808443733	232.630926918751	299.197025382044	324.945121669593	293.706403896854
EXOSC10	522.45182899077	471.176199437131	476.937832539694	626.23672016276	567.021498387958
AL109811.1	0	0	1.48117339298042	0.775525350046762	0.357742270276314
EXOSC10-AS1	7.25627540264959	1.97144853320975	2.96234678596083	1.9388133751169	1.43096908110526
MTOR	544.220655198719	638.74932475996	502.117780220362	658.808784864724	621.040581199681
MTOR-AS1	0	0	0	0	0
RNU6-537P	0	0	0	0	0
ANGPTL7	0	0	0	0	0
RNU6-291P	0	0	0	0	0
RPL39P6	0	0	0	0	0
UBIAD1	137.869232650342	149.830088523941	134.786778761218	117.492090532084	98.02138205571
UBE2V2P3	0	0	0	0	0
AL031291.1	0	0	0	0	0
MTCYBP45	0	0	0	0	0
DISP3	9.67503387019945	9.85724266604877	11.8493871438433	11.6328802507014	11.447752648842
AL590989.1	0	0	0	0	0
LINC01647	0	0	2.96234678596083	0	1.07322681082894
AL031731.1	0	0	0	0	0.357742270276314
FBXO2	481.332935042423	400.20405224158	568.77058290448	288.495430217395	269.737671788341
FBXO44	67.7252370913961	118.286911992585	117.012698045453	157.043883384469	142.023681299697
FBXO6	62.8877201562964	51.2576618634536	69.6151494700796	107.022498306453	125.925279137263
MAD2L2	299.926049976183	276.002794649366	328.820493241653	355.190610321417	328.407404113656
DRAXIN	7.25627540264959	27.6002794649366	39.9916816104713	10.4695922256313	7.87032994607891
AGTRAP	82.2377878966953	96.600978127278	109.606831080551	153.166256634235	138.446258596933
C1orf167	0	1.97144853320975	1.48117339298042	0.387762675023381	1.07322681082894
C1orf167-AS1	0	0	0	0	0
MTHFR	203.175711274188	179.401816522088	191.071367694474	171.391102360334	138.80400086721
CLCN6	62.8877201562964	63.0863530627121	69.6151494700796	92.2875166555646	93.3707325421179
AL021155.2	0	1.97144853320975	1.48117339298042	2.32657605014029	2.5041958919342
AL021155.3	0	0	1.48117339298042	2.32657605014029	1.43096908110526
NPPA	0	0	0	0	0
AL021155.1	0	0	1.48117339298042	1.16328802507014	1.43096908110526
NPPB	0	0	0	0	0
SBF1P2	0	0	0	0	0
AL021155.4	0	0	0	3.48986407521043	1.43096908110526
RNU5E-1	0	0	0	0.775525350046762	1.07322681082894
RNU5E-4P	0	0	0	0	1.78871135138157
KIAA2013	302.344808443733	277.974243182575	340.669880385496	480.825717028992	515.148869197892
PLOD1	1035.22862411134	1062.61075940006	1208.63748867202	1950.44625536761	2008.00736306095
AL096840.3	0	0	0	0	0
MFN2	991.690971695443	1003.46730340377	893.147555967192	930.630420056114	885.769861204153
AL096840.2	0	0	0	0	0
MIIP	104.006614104644	80.8293898615999	102.200964115649	121.369717282318	105.176227461236
AL096840.1	0	0	0	0	0
MIR6729	0	0	2.96234678596083	0	0
RN7SL649P	0	0	0	0	0
TNFRSF8	0	0	7.40586696490209	1.55105070009352	1.07322681082894
RNU6-777P	0	0	0	0	0
RPL23AP89	0	0	2.96234678596083	0	0
AL357835.1	0	0	0	0	0.357742270276314
MIR7846	0	0	0	0	0
TNFRSF1B	4.83751693509972	3.94289706641951	4.44352017894125	1.55105070009352	2.5041958919342
MIR4632	0	0	0	0	0
RPL10P17	0	0	0	0	0
AL031276.1	0	0	0	0	0
VPS13D	611.945892290115	583.548765830087	605.799917728991	517.27540848119	487.960456656892
SNORA59A	0	0	0	1.16328802507014	0.357742270276314
LINC02766	0	0	0	0.387762675023381	0.357742270276314
DHRS3	657.902303173562	415.975640507258	728.737309346365	534.724728857242	539.117601306405
RNU6ATAC18P	2.41875846754986	1.97144853320975	1.48117339298042	1.9388133751169	2.5041958919342
MIR6730	0	0	0	0.387762675023381	1.78871135138157
AC254633.1	41.1188939483477	23.6573823985171	32.5858146455692	22.1024724763327	26.4729280004472
AADACL4	0	0	0	0	0
AC244670.1	0	0	0	0	0
AADACL3	0	0	1.48117339298042	0	0
C1orf158	0	0	0	0	0
