gene  baseMean	log2FoldChange	lfcSE	pvalue	padj
ANO1	300.99762380886	-1.16600855133371	0.146871699318213	1.64031372645838e-16	4.03845239454052e-14
RINT1	438.898530329577	0.949489191918886	0.119660636392072	2.05003150445601e-16	4.9644369481679e-14
MCM3	329.908888662749	-1.17178501486843	0.148685918784466	3.05246820804455e-16	7.27275167245712e-14
KLHL24	511.9606888041	0.985101994025555	0.125406531470582	3.23058481053217e-16	7.57495219383829e-14
KMT2C	460.065265379849	1.05673823710104	0.134727816541	3.29064376235189e-16	7.59521713397845e-14
MCM2	389.548399772987	-1.07260586463302	0.136447001519538	3.50394521611752e-16	7.96311980499815e-14
CDK5RAP3	886.964377091143	1.05473994692267	0.135311145358799	4.8661709944186e-16	1.08913754438714e-13
GALNT5	515.447491604145	-0.913548083458225	0.117385459579853	6.29053363786542e-16	1.38692183430669e-13
YWHAB	1063.09469780455	-0.681436301317625	0.0874289275752805	9.28192247035938e-16	2.01636115782572e-13
SLC25A46	104.173828808768	2.15744007472139	0.280790024240352	1.07099809482279e-15	2.29286722561191e-13
EEF1A1P5	12101.3036204255	0.719722998791326	0.092897534968616	1.13011093839394e-15	2.38485696885075e-13
RUVBL1	338.653073661985	-1.06292406351537	0.138026650329567	1.17935866885528e-15	2.45373045863805e-13
TRIOBP	579.661012313342	-0.875280203326199	0.113644496793842	1.21473943497628e-15	2.49224040742632e-13
MAP1LC3B	1141.15617717136	0.837983674818317	0.109221421699072	1.65387956393441e-15	3.34672724910126e-13
TIPARP	1097.2539226414	0.726538865353713	0.0950174893047761	2.51010299220563e-15	5.01070829741373e-13
FAM122B	615.180220116716	-0.851639345293167	0.11267023312178	3.17697714453985e-15	6.25737418388568e-13
CDK2AP1	328.52781138125	-1.05061326109386	0.137872754096121	3.30449939807257e-15	6.42290330372737e-13
RBCK1	697.690573677142	0.883604049628494	0.116631479036111	3.49344045443861e-15	6.701961349736e-13
RC3H1	544.604151835546	1.10194512213497	0.146551827965942	3.96779367633371e-15	7.51439079317969e-13
FAM83H	254.161685902325	-1.28396549760841	0.171009441635871	4.16624680320999e-15	7.79035414898962e-13
AP1G1	1238.44096594569	0.64035093988093	0.0856501091360965	4.68193949849271e-15	8.64520128396679e-13
GRB7	420.094781415629	1.06183506953903	0.142013789755995	5.57191286436736e-15	1.01615181274611e-12
GABARAPL1	975.505180383683	0.77237560676411	0.103061223959243	6.85139606091038e-15	1.23425393428985e-12
MARVELD1	106.940585815661	-1.78653743428424	0.240389584939105	9.39695791704352e-15	1.67243207651285e-12
COPB2	2248.87939098066	0.571787099424773	0.076194674497831	1.01382383749915e-14	1.78288163423065e-12
ENO1	7564.38831358922	-0.603504088341559	0.0816674937287395	1.52962501550382e-14	2.65830832106146e-12
TSPAN5	274.905109307228	-1.13013091586252	0.153937830412238	1.58560544139715e-14	2.72355390468822e-12
ERBIN	1492.97539193893	0.577406939556306	0.0777871390868149	1.77013793968982e-14	3.00557214311472e-12
DYNC1LI2	1351.78886100591	0.674818779696266	0.0913886609354848	1.87814232044901e-14	3.15271799519009e-12
SBNO1	1192.00225007447	0.74308406555075	0.101076080258609	1.92430110443162e-14	3.19390740614201e-12
OGA	1977.78481218977	0.658771945058053	0.0900155693791503	2.0195505756712e-14	3.31475567820166e-12
TMEM167A	684.10123856442	-0.811350650680915	0.110840669143283	2.11241326796934e-14	3.42907349389485e-12
CKB	1106.40721853212	-0.676150927573784	0.0919181125859903	2.32171284769004e-14	3.72786328109536e-12
RBM5	364.765445238167	1.0510803240645	0.144152551186915	2.42349562587184e-14	3.80849759418924e-12
COPB1	2243.13465212237	0.600918927354277	0.0809584227326889	2.42332095560017e-14	3.80849759418924e-12
TAF1D	2823.17351356257	0.76268662578105	0.104518369739485	2.95317332833819e-14	4.54419545898039e-12
JUND	1461.14468687926	0.72377255433134	0.099276378045042	2.95054258977787e-14	4.54419545898039e-12
KITLG	2809.08609355748	-0.859733213671448	0.118393542280959	3.89050312368761e-14	5.92479506630034e-12
TTC17	824.354019589364	0.740848682733901	0.101927810582483	4.03936106466127e-14	6.08871853542615e-12
MT-RNR2	308626.384324109	0.536710570994654	0.0732862753025615	4.43794947179756e-14	6.62195854519127e-12
SENP7	176.80706261764	1.39647865343443	0.196435369766058	7.24128271592965e-14	1.06968228279713e-11
PKP4	380.821504258005	-0.913812098461549	0.127932570246605	8.39823189885692e-14	1.22830377831598e-11
RBBP4	901.186755481426	-0.682032067472817	0.0951353787883226	8.68942314148071e-14	1.24621513248498e-11
HNRNPD	1529.07746897769	-0.609166774047865	0.0850037440641784	8.66348691483333e-14	1.24621513248498e-11
PEBP1	805.549087097417	-0.727304139731022	0.102689744772094	1.0490279822148e-13	1.49002320704587e-11
TP53BP1	671.548175363026	0.934571844095978	0.131801621754577	1.14205992302562e-13	1.60671516027947e-11
PGM3	1282.06335328714	0.664086005828063	0.0934289325182962	1.27645999065602e-13	1.77885537565762e-11
BRI3BP	346.435832033324	-1.03354173046912	0.14609210381328	1.32259670683135e-13	1.82592509844045e-11
MROH6	225.6106993728	1.53195424484356	0.218695478097146	1.42485434040725e-13	1.94888410337924e-11
RARS1	1306.00678789479	0.618315364349407	0.0876693850122729	2.13747253071795e-13	2.8967655251161e-11
GDA	538.807554685605	-0.863912727261999	0.124141538540762	3.03039543199678e-13	4.06954557467785e-11
DNHD1	164.647510755742	1.53804690599739	0.22505317984693	4.44106294708943e-13	5.91021458147793e-11
RBMS2	920.25445750931	0.793858327772349	0.115001425199785	5.15770180157632e-13	6.80264026900763e-11
SRP54	706.094137801582	0.735908939124967	0.106767772303538	5.26872367498814e-13	6.88757399353316e-11
INO80D	252.691194639392	1.19030801488039	0.174271805729599	5.71708848067568e-13	7.4081430733808e-11
COPA	2799.34154759331	0.551221745080134	0.0791212788682205	6.57908443185885e-13	8.45097697629729e-11
GDI1	1661.81713786477	0.518050925438511	0.0744964396015578	6.83242148426995e-13	8.70073535910652e-11
DNAJB2	374.238532443711	0.920709752926358	0.134501222454289	7.15596922826101e-13	9.0348698666557e-11
TK1	402.835552552032	-0.988478709856091	0.144153763187985	8.99181845172867e-13	1.12565374719437e-10
CLTC	8123.33034783417	0.536958148908526	0.0779723990020816	9.56303772753661e-13	1.18710246479975e-10
NCL	5194.41418198467	-0.449502178653762	0.0650872265635597	9.92338203533587e-13	1.22156832854985e-10
RIOK3	828.330484435201	0.676431581541044	0.0986480632006119	1.02737581639664e-12	1.25424756692654e-10
ZC3HAV1	700.288421457954	0.708157434564704	0.103846166315704	1.05199009528378e-12	1.27377030225672e-10
UVSSA	445.468912708987	0.96000029136281	0.141907894218916	1.06656472244352e-12	1.28091821788096e-10
NF1	419.162260216939	1.10656088200212	0.173085038080609	1.13549625706547e-12	1.35270570236864e-10
AFDN	698.63290398597	0.756024245231029	0.111389594697962	1.25030651883021e-12	1.47756223169279e-10
POFUT2	422.025554141241	0.866851914691474	0.128505843112775	1.43016972840508e-12	1.67670374825395e-10
ID1	2496.42356297979	-0.578524276774022	0.084179354957378	1.8013034228744e-12	2.09518536714178e-10
LIMA1	1808.45494856998	0.532082003412221	0.0781525034317756	1.88832114441596e-12	2.17924062072755e-10
ARNT	560.680221589932	0.736778929287512	0.109519072170712	1.9675418867117e-12	2.25306424422522e-10
PPP1R15B	1160.41853567614	0.635315457187986	0.0942792683361143	2.22267514857996e-12	2.52564286883256e-10
P4HA1	695.591210691263	0.90173841783637	0.135337227163617	2.39612226502175e-12	2.70194794648102e-10
TACSTD2	326.306166951272	-1.00806844329074	0.151285075681388	3.30294306588064e-12	3.64907929806187e-10
HS3ST1	393.124074939806	-0.85836877998006	0.129727446484662	3.310158583403e-12	3.64907929806187e-10
ITPRIPL2	280.037014268497	-1.14929268211694	0.174184787767988	3.30304001159047e-12	3.64907929806187e-10
RRM2	1275.0965478072	-0.726631502499505	0.111025844468901	4.16539138255577e-12	4.55786381504547e-10
VPS13D	712.238560600702	0.748029853908478	0.114295541763025	5.97000758023273e-12	6.4844817628822e-10
DDX42	1774.72277004458	0.529292415890696	0.0802614952375382	6.07960926320289e-12	6.55532759387102e-10
AL138963.4	192.995907435674	-1.29571462099034	0.200306051907268	6.79792326285308e-12	7.27673351006273e-10
FKBP1A	989.666690591137	-0.59885689620386	0.0909597172359909	6.9013557435543e-12	7.33430410386936e-10
SCD	14151.6173327635	0.530705904480184	0.080402959814782	7.09254840732469e-12	7.4836517909286e-10
GOLGA3	1326.45132625785	0.641359261523648	0.0979676044034065	7.46604449858709e-12	7.82187300234954e-10
MCM7	916.858902965203	-0.693355516765989	0.105719034263309	8.6638244830791e-12	9.01281797634116e-10
VSIR	390.105711304313	0.841154640540177	0.12986486345671	9.12795627421035e-12	9.36376181129412e-10
MT1E	94.3291358803472	-1.88773020693067	0.293884214679096	9.12770718734311e-12	9.36376181129412e-10
DHFR	62.9309445765227	-2.07186907327168	0.322291834209055	9.45631251145373e-12	9.63369989097893e-10
ANXA1	1828.83135819708	-0.702491045271388	0.109232028155688	9.56276461099421e-12	9.67542183791825e-10
NUCKS1	3043.55850595289	-0.509679790127774	0.0781244856668372	1.01611328757215e-11	1.02109016898066e-09
C11orf54	436.810037419809	0.768534826583484	0.118984994820499	1.1301770554278e-11	1.12803888262023e-09
AC093884.1	550.758880479609	-0.760489244111144	0.118634462794358	1.17363914201631e-11	1.16355687287684e-09
PRRC2C	2429.50882859618	0.519203494891632	0.0798953870273295	1.25811931035578e-11	1.23899589683837e-09
HLA-B	2540.71341149081	0.543455784240505	0.0834781791840109	1.33787865070552e-11	1.30881744557761e-09
DUSP4	1447.36693926554	-0.584029303129922	0.0903651990178104	1.5449802646083e-11	1.50147687294696e-09
SLC38A1	1064.24384869046	-0.596085840723076	0.0921821396741435	1.61752001813412e-11	1.5616997194691e-09
VIRMA	1401.70448921999	0.534511117090784	0.0825427925496322	1.71359536874358e-11	1.64371628487533e-09
TTLL3	266.596975195698	1.13920968978916	0.180103603284587	1.75583719433323e-11	1.67336948610906e-09
RTEL1-TNFRSF6B	1385.72687071265	-0.558508336882031	0.0869298897689336	1.89808801421926e-11	1.79734334269531e-09
SAFB2	573.325242500558	0.879684178717676	0.138114808034367	1.92772621907319e-11	1.81378163746173e-09
ATAD2	796.800188632053	-0.644144770063733	0.100423442044199	1.96855339131581e-11	1.84047282889349e-09
CSAD	103.460512640275	1.62453229155356	0.259026554208971	2.00623775410238e-11	1.8639084341887e-09
FOXM1	192.731647570383	-1.07219425716582	0.16969395015333	2.04741820721367e-11	1.89027885981002e-09
AFF4	869.279694916829	0.76641676178112	0.1210620646842	2.58862642625611e-11	2.3751049421525e-09
SRPRA	1283.32750649991	0.531922731718351	0.0829782006069641	2.81900272356917e-11	2.57051285386196e-09
TNFRSF6B	1224.7788546821	-0.620883804483986	0.097597066168892	2.86068990006032e-11	2.59252215973565e-09
RBM3	1568.8128078005	-0.50658432513479	0.0793729056860185	3.06701348860407e-11	2.76255629595484e-09
PM20D2	244.348870258388	-1.01496819384953	0.162599878789681	3.28179338410577e-11	2.92040071506087e-09
ZNF704	206.424550898386	-1.24997898613666	0.199708577918878	3.26423490507520e-11	2.92040071506087e-09
MTMR3	584.630038879887	0.665302174008425	0.105217928277449	3.3446479668473e-11	2.9585113632496e-09
GFPT1	1838.7578194635	0.567697150469614	0.0894158675648681	3.38017560033701e-11	2.96583101331177e-09
RAB5A	714.310466710463	0.667664371081713	0.105705323057806	3.39307772305504e-11	2.96583101331177e-09
HBP1	403.88065971174	0.765089363853657	0.121957884058483	3.71610104888208e-11	3.22907321729918e-09
KRT15	557.741024583342	0.732933184295634	0.11783697953598	3.78702824349056e-11	3.27146088963991e-09
PTMS	1289.45519325952	-0.614385599172727	0.0971119150128669	3.899963304885e-11	3.34943360114891e-09
AC018521.1	825.878600675731	0.770153495578187	0.123236982398969	4.29663834461507e-11	3.66878275298577e-09
ZSWIM8	326.797140526602	0.8748813755061	0.140673830426967	4.38788728287752e-11	3.72516499670498e-09
TFPI	239.367011897549	0.991797330684426	0.160054210824747	4.49878367256394e-11	3.78962474591022e-09
EDEM1	398.168705783188	1.05304615630695	0.170138543737194	4.51512290333196e-11	3.78962474591022e-09
ARCN1	2666.61948805723	0.515624003629182	0.0815804176681827	4.56121876789463e-11	3.80668495137511e-09
CFL1	2148.31143478923	-0.593185195091939	0.0941007170682868	4.70557674043625e-11	3.87016730868724e-09
FOSL1	815.06067766653	-0.751242396950903	0.120375188947137	4.70538397584416e-11	3.87016730868724e-09
TSPAN3	369.667380955916	-0.80299780944668	0.128533540426682	4.71588217955391e-11	3.87016730868724e-09
RSPH3	250.860210276706	-1.03861654723048	0.167684712462779	4.82948312999258e-11	3.94149860752764e-09
PAICS	1846.08858540794	-0.465724506246892	0.0732950386587506	4.9176611674412e-11	3.99141158051876e-09
SSR2	1223.89432526809	0.608150750352684	0.0970715454491782	5.41327632683006e-11	4.36966764480512e-09
PRDM15	157.401326025607	1.20722428124801	0.197122717720886	6.1540429100678e-11	4.94062618845226e-09
IFRD1	399.98502141648	0.792338937238185	0.128689179398428	6.483963420189e-11	5.17735716989362e-09
UBN2	377.699637484145	0.997615078523691	0.162695743481231	6.77537753241368e-11	5.38096112412983e-09
RIT1	154.184615086727	1.18751235685119	0.194352379399395	6.95832978517795e-11	5.49670842709351e-09
LAMB2	1020.43162047306	0.644618532218489	0.104306640270404	8.2676497964799e-11	6.49626185072346e-09
MAOB	78.7440760620847	-1.81999984400612	0.300423767428705	8.75810050072017e-11	6.84522013738827e-09
KCNG1	118.829992543986	-1.40044813327165	0.231390707365893	9.04457471055759e-11	7.03191882233456e-09
BIRC6	951.050887591914	0.713760235678742	0.116645974598438	9.11108399163796e-11	7.04654098033906e-09
MT-RNR1	29586.7596617626	0.684308489129628	0.11124554367047	9.46920295382474e-11	7.28536802259891e-09
STAM2	390.951155443649	0.84128245739744	0.137994560360016	1.02804038321452e-10	7.86850390717348e-09
ZNF664	777.898960874727	-0.64592267751601	0.105143552313607	1.03621145966289e-10	7.89016272275267e-09
YKT6	1023.32711797753	0.628513437670657	0.102338272009806	1.08741733629661e-10	8.23760455988385e-09
AL157392.3	113.648615807785	1.67057342475061	0.278075500536483	1.09910622195416e-10	8.28367199525857e-09
NISCH	609.389638445908	0.765790421916568	0.125572297968086	1.10811407826616e-10	8.30916810362827e-09
KIAA1109	776.734209631721	0.646049244155389	0.105596577302068	1.20170069631523e-10	8.96229536146986e-09
EEF1AKMT2	219.633081883308	-0.994123835446125	0.164078887316874	1.20734956467134e-10	8.96229536146986e-09
POU2F1	499.836291981738	0.769629477458707	0.126391915368759	1.23210186398961e-10	9.01020234398742e-09
ARMH3	267.811141908866	0.928784107377892	0.153580890355739	1.23050408608776e-10	9.01020234398742e-09
SYNJ1	138.407865709296	1.25353172805515	0.208807624688037	1.22972694466623e-10	9.01020234398742e-09
MIF	1504.47236187103	-0.534640258637157	0.0869327869278953	1.23998063463008e-10	9.02314972155447e-09
YME1L1	2641.45574721665	0.482529959098819	0.0779866164239323	1.33490131184276e-10	9.66625596987318e-09
SELENON	819.27078018916	-0.664125280973768	0.109630140687981	1.37467666059208e-10	9.90571884403229e-09
NBPF1	426.317700779862	0.768384529588634	0.126754766616226	1.42904537501758e-10	1.02475040193009e-08
CLCN6	204.862485022945	1.13361103383646	0.18914859303345	1.45900598701354e-10	1.04118050435575e-08
ZNF638	806.074710873522	0.70183328598994	0.115482943970247	1.46731342282451e-10	1.04207470586364e-08
KDM5B	622.613994162888	0.713644017222504	0.11800084066354	1.62675027190357e-10	1.1497777519885e-08
VHL	337.422136702988	-0.830142293476313	0.137147082180056	1.72385912118836e-10	1.21261175896164e-08
ETV3	380.416367659499	0.762651745964623	0.126458546586177	1.73586789007003e-10	1.21527206028979e-08
KCMF1	1016.91375403847	0.646295673921421	0.106501305663227	1.79630141690604e-10	1.2516492703083e-08
AC019117.4	271.278194316148	0.878290267718889	0.146473835560135	1.81505814263889e-10	1.25751893261297e-08
ARPP19	929.858779073553	-0.580388762785367	0.0960967095333393	1.8217509584293e-10	1.25751893261297e-08
RNMT	827.196037248403	0.605505576266066	0.0997301522712462	1.8762411461236e-10	1.28910856793199e-08
PI4KB	476.182799662958	0.702749412474301	0.116740947946869	2.1003843111593e-10	1.43642949279839e-08
PHC3	717.980170882964	0.75807435687693	0.126380316786195	2.17783456116827e-10	1.47731800970663e-08
SMG1	1784.01590677572	0.755571384142973	0.126021583152525	2.18017415459007e-10	1.47731800970663e-08
ZNF629	65.7102026194864	-1.87253182420946	0.317667271045885	2.22295918031955e-10	1.49943164436897e-08
CD55	1370.18858685594	0.555896656489599	0.091722227157265	2.25311158825707e-10	1.50173008150732e-08
WIPF2	902.152399532361	0.632264859860973	0.105719828723893	2.2568648666032e-10	1.50173008150732e-08
TTLL12	424.925976222371	-0.749561183191835	0.12505468253047	2.25672402980059e-10	1.50173008150732e-08
CRABP2	492.268064348918	-0.680611740106017	0.114436437596857	2.26912739621033e-10	1.50311882945377e-08
TICAM2	557.200728914704	0.662935846888321	0.110176673957558	2.28364582984256e-10	1.50598286600153e-08
TAF13	422.501286459206	0.967984377782497	0.163429128616304	2.40068225528512e-10	1.57612792333652e-08
LATS2	455.954975608126	0.765283684220882	0.128245593793211	2.50764356390664e-10	1.63906684628446e-08
ZC3H7A	349.07038491912	0.805229637316384	0.13509150623152	2.59288049585723e-10	1.68731412708384e-08
NFE2L3	213.339912198849	-0.968697515496153	0.163169201838798	2.76664215364091e-10	1.78615627173549e-08
CRY2	198.51435405262	1.0488178571224	0.177918878306339	2.76895333216509e-10	1.78615627173549e-08
PIK3C2A	873.988936480413	0.870824414008517	0.147256954089648	2.78262137165832e-10	1.78716882183203e-08
ZNF805	288.919742312954	0.962185649830121	0.162913798443153	2.85640623412119e-10	1.82661614244321e-08
TAGLN	88.2491312646858	1.63545575770613	0.279790198036745	2.94887225827487e-10	1.87761814651881e-08
AP000350.4	1283.25441745042	-0.522509477118034	0.0870652389017652	3.11473453692186e-10	1.97471496048969e-08
FAM126B	201.44700914008	1.07129552209579	0.182877145015008	3.46952099575472e-10	2.19024633116618e-08
HECTD1	2375.02272857794	0.43846790858353	0.0728061920298621	3.78609831847245e-10	2.37992529193511e-08
BTBD19	111.097108695976	1.76198104888855	0.304297988398561	3.85765577818105e-10	2.41463098115637e-08
GPCPD1	237.896429056475	0.893076802065262	0.152291528325614	3.96480731439512e-10	2.47122926785842e-08
MT-TR	212.066216008002	1.13446157140782	0.194935119611626	4.18173197973564e-10	2.59548507582583e-08
LUC7L2	591.32807172938	0.65458750933717	0.110758893507099	4.49755635673907e-10	2.77982855655856e-08
CDT1	315.584558170843	-0.898399774209132	0.1537607678397	5.46360855402971e-10	3.36285106500529e-08
MMADHC	1540.92657835496	0.749058360746088	0.128140363304072	5.53362746924821e-10	3.39181514422135e-08
MYSM1	592.045165343219	0.830254802014741	0.142833393146251	5.89681558318771e-10	3.59949420639871e-08
SPTBN2	135.139892854941	-1.1882309563751	0.205378811412238	6.23122255431903e-10	3.78796788363789e-08
JUN	294.589240788966	0.919400135840825	0.159101656040618	6.46747269127331e-10	3.89840003277567e-08
DCTN4	1020.1600788772	0.516631990870998	0.0878853155366172	6.46041172791974e-10	3.89840003277567e-08
RSKR	150.604850980751	1.30065964206918	0.226968878154058	6.4920552942243e-10	3.89840003277567e-08
WSB1	577.178757522157	1.34452511109894	0.235289465117216	6.6414297274995e-10	3.97195141435719e-08
DPY19L1	381.002747685555	-0.743833928525278	0.128140445240242	6.80091659063978e-10	4.05093305955366e-08
GON4L	477.569738794555	0.657434328455426	0.112978939645711	7.00655062081371e-10	4.15665725986587e-08
NASP	427.041141115508	-0.723027561357099	0.124450341469354	7.18858162796992e-10	4.24758911233487e-08
ASPM	207.051866064364	-1.04380099237744	0.181695989519194	7.44970422518852e-10	4.38434385715079e-08
OSBP	1246.16380365196	0.563823551291188	0.0965890377192194	7.81181905985321e-10	4.57921393460919e-08
ZNF143	414.689193271426	0.788971017281762	0.136362753512836	7.94350433332403e-10	4.63800181865069e-08
H1-2	216.331185863214	1.12094058302688	0.19691243055752	8.86020156342912e-10	5.15286998011712e-08
H1-0	1552.09611074769	-0.485422883794724	0.0829998867709809	9.09819551466042e-10	5.27053114284564e-08
PTPN14	1003.19764532595	0.567654723336438	0.097605994813817	9.47039578501741e-10	5.46471431782333e-08
HMGB2	1842.74855458451	-0.674526500204305	0.116032762737147	9.61103788072934e-10	5.52428994451883e-08
SPAG9	1579.62036177775	0.532456304141451	0.0914674675006561	9.81613305326346e-10	5.62030687840341e-08
PSAT1	998.189636369229	-0.682618212722952	0.120601730957113	1.02335082241015e-09	5.83665573306669e-08
CCDC9	326.141503680013	0.867226991776311	0.152517936398793	1.1465900646115e-09	6.51439555170813e-08
SEC63	739.179194136887	0.580622468111111	0.100371843213631	1.16118314086241e-09	6.57202963862819e-08
CENPB	122.454918862821	-1.29201575674932	0.22878766218116	1.19882929363257e-09	6.7592008876108e-08
SLU7	558.003213220341	0.603445758425744	0.1051357082799	1.28652810117171e-09	7.20760136618659e-08
SOX4	674.741712909341	-0.852266662325051	0.150302440628587	1.28973412408413e-09	7.20760136618659e-08
COG5	624.315413404996	0.676238173736096	0.118385734962386	1.29299645412906e-09	7.20760136618659e-08
HTT	518.61530543789	0.820112379144833	0.144597758023288	1.31511570054053e-09	7.30334177758821e-08
UBE4A	875.664242466439	0.572726088156408	0.0995685822613883	1.35053420420258e-09	7.47194429381295e-08
C19orf48	198.289154067298	-1.03321904854196	0.18273689270938	1.42776429804265e-09	7.86975157115149e-08
