cell_line	tf	cistrome_id	cell_line_file_size	overlaps	odds_ratio	fishers_two_tail	giggle_score
NCI-H441	SMAD3	47577	62965	184	20.240045743038849	4.9875386998928676e-156	673.87771397344738
HT29	POLR2A	69786	63035	182	20.38235991345022	5.3592345503940868e-155	670.96257551952756
HT29	POLR2A	69788	75998	197	18.313478637665337	4.5454009795458606e-158	660.02535812245555
K562	ZEB2	63282	39537	158	23.030170161542365	6.3032487760527447e-144	648.04686438422055
HT29	POLR2A	69789	49552	160	22.130035870190806	5.0020754509367456e-143	635.79078843877727
MCF-7	FOSL2	46317	42786	141	24.645015676348105	2.3082298534683172e-133	613.20927070816193
K562	SUMO2	55337	98247	204	16.083201610349651	1.5981639222424206e-152	608.3213646276442
HT29	POLR2A	69785	57240	162	19.736064418923629	3.9899639814039698e-137	586.89262544976557
K562	CBX3	46291	101643	204	15.024639737946579	5.2271351896625874e-147	571.85311990079399
HT29	NR1H2	69804	38013	131	24.254449699663446	1.4251253654023305e-123	565.11408622986153
K562	TRIM28	45933	6072	66	67.89632695746954	7.4649538272341363e-93	560.61673264265305
HEK293	TRIM28	1194	40025	134	23.150161686553695	1.1501904991219042e-123	557.27742846227357
MCF-10A	STAT3	45997	85644	183	16.142046202846249	1.3886216574285665e-138	553.18756198580907
HCT-116	KMT2B	42906	21353	100	33.016300536976722	1.7609138449088359e-108	543.63173470313519
HT29	NR1H2	69803	46670	141	20.982668119103874	4.8001731963195983e-124	541.50816806372001
HT29	PPARG	69797	45217	137	21.664664172964116	1.5293482034984925e-122	540.5284751506745
MCF-10A	FOS	46007	108366	196	14.557928851938167	2.0753533628934967e-139	535.83375759859306
K562	ZEB2	63283	22118	113	27.098924916115418	1.3287715804421051e-112	532.55069197952073
HCT-116	EP300	42907	19798	95	34.190334859855994	1.1437624224018843e-104	529.63648017480485
H1	E2F6	46177	68616	167	16.814179336884678	3.1900379733955565e-130	527.25758144153969
K562	SETDB1	2124	5808	60	70.354220582261931	1.4499114911325114e-85	520.61794829260544
K562	SETDB1	2123	4041	52	90.157317952415269	5.8653708168822428e-80	514.56021829183978
HCT-116	POLR2A	46201	55528	154	17.672148351569351	6.0806100785570509e-124	510.5340747020088
293T	ZNF671	77066	4559	53	82.169711313265779	2.3269491523643495e-79	500.14928785356605
HCT-116	TEAD4	46210	39773	123	22.259226164062941	4.3274543530192476e-112	498.50114417391795
HT29	POLR2A	69784	57802	151	17.448727998352432	6.2056031549980739e-121	495.86077198425641
HCT-116	NIPBL	88450	28604	122	22.332622648916576	2.2889631663183696e-111	495.78839604835667
HCT-116	ELF1	46202	45158	136	19.276184879431078	3.2864697193060773e-115	488.70018997736251
K562	FOS	1991	50884	133	19.746363051022332	3.8121934024830114e-114	488.09962093497018
K562	ZEB2	62509	36074	129	20.248214758755456	3.2137979446168753e-112	483.84863458265457
HCT-116	POLR2A	39921	41125	136	18.913178552195394	3.7728919195094556e-114	481.06461246871437
HCT-116	POLR2A	39917	40923	135	19.009983561119366	1.206195125855691e-113	479.75553022553251
HCT-116	NIPBL	84953	29832	124	20.686627868848603	3.3902515118232509e-109	474.08085207457357
HCT-116	SIN3A	46208	33224	115	22.566601447086786	7.9438926268723174e-106	472.54177384823121
HT29	NR1H3	69802	66428	153	15.61812662584302	1.3117062817709069e-115	455.52495384317938
HCT-116	SMARCC1	72101	6118	56	62.216160071317283	4.3094771377125151e-77	455.07906966097485
HCT-116	ICE1	39914	39819	117	20.545773723278803	4.5121808176670154e-103	446.30565604919424
K562	SUMO2	55336	11240	68	42.64808395388944	3.3354025230916136e-82	441.14900118943848
HT29	POLR2A	69787	76847	165	13.953955338371186	1.5746324628917302e-116	440.3520630018462
K562	FOSL1	63076	66036	153	14.848391290217743	1.606579281534785e-112	435.12887014610521
K562	TRIM28	2145	2461	40	107.85500165820501	5.2970807038220991e-65	434.05232026958625
K562	USF1	46279	49883	123	18.355509654814657	2.0883498698771851e-102	426.8678300149743
HCT-116	EGR1	46214	47145	128	17.170518142378423	7.6673528959311423e-103	418.86305874263667
LoVo	JUND	38758	39647	117	17.633839626766697	8.7742391077795521e-96	393.56122862087848
K562	FOSL1	63077	56549	137	14.682307352049399	5.5796111961607831e-101	388.58284517462445
HCT-116	ICE1	39920	41898	111	18.356901067727144	5.7379161295321656e-93	387.25186781881017
HCT-116	POLR2A	84239	24837	104	19.622740829684478	3.243524559423223e-90	384.30637930374129
K562	JUNB	7487	28345	92	22.378721596942025	2.7502200383669718e-85	379.17458797322834
K562	FOS	7484	19792	76	26.849056788112698	8.609706475193585e-77	361.06535943071303
GM12878	CBX5	63410	42605	107	17.436743452787123	1.4449946236911046e-87	358.13381068808135
MCF-10A	STAT3	46002	73674	136	13.390482660008505	2.4677850376794983e-95	354.12946585069112
HCT-116	POLR2A	88095	30595	110	16.463247327813235	2.6575623501552988e-87	349.86698845682737
MCF-10A	STAT3	34236	75767	137	13.11985727520984	7.0481785584978439e-95	349.65012513318609
143B	FOSL1	81736	17344	74	26.588038487167182	1.5218850142663775e-74	349.35704319685689
K562	ZBTB33	64739	50917	125	14.307322036878666	1.9728107869998068e-91	348.1873007944857
MDA-231	ZEB1	87839	32864	106	16.687196715984459	6.8166160657299747e-85	341.77207775692364
K562	JUN	45874	42051	102	17.353344387576247	1.6923395153793915e-83	340.78205604551558
K562	JUN	2078	42051	102	17.353344387576247	1.6923395153793915e-83	340.78205604551558
K562	JUN	45892	45665	107	16.439935907285061	5.0812453978999577e-85	340.47477815518504
MCF-7	FOSL2	63859	10901	58	35.529530040290126	5.0160722809821657e-66	336.35494571501458
K562	FOSL1	46296	27251	83	21.784666537237829	2.1788674134396126e-76	336.3348079952961
HepG2	FOSL2	46243	75818	135	12.58665677930208	2.1685357156671439e-91	331.26962027129783
BJAB	TRIM28	70926	82178	153	11.113214325738046	4.0528618237547246e-95	327.93791505954815
HT29	NR1H3	69801	44887	108	15.586779845548897	1.8969974387653736e-83	327.76506274569447
293T	ZNF506	77104	11042	54	37.375995500995501	8.7122958374878283e-63	324.20323585960454
WM853	SETDB1	34015	2527	32	91.237825320512812	4.7108593180922701e-50	321.19507572601434
N87	BRD4	82804	34021	109	15.041518483906618	1.3367190416660585e-82	320.19909407012133
HCT-116	SMARCA4	72102	7586	48	43.332059485046514	4.9966830274310574e-59	317.00542468844033
HCT-116	RAD21	46207	91714	150	10.821525588448962	6.9721545327783767e-92	313.19887624906081
MCF-7	FOSL2	63858	9590	53	36.141259523310268	6.6069140022408415e-61	311.466103239377
K562	ZBTB33	64738	58884	128	12.421512923777344	2.5450756053459519e-86	311.115505500058
HEK293	TRIM28	45725	101015	157	10.191673143695656	3.6691037563219972e-92	306.24645738307488
H1	USF1	46171	71692	122	12.712316949094415	1.1116155497392007e-83	304.28830423996446
K562	SETDB1	45873	2653	32	80.450710907704035	2.4898212188259531e-48	301.33383903413963
GP5d	JUND	42924	2464	31	84.714655999614877	1.4988814588238923e-47	299.88765632221075
K562	SUMO2	55339	43510	102	14.964958439087583	2.093651592302413e-77	299.31810463960064
K562	FOS	1990	80611	129	11.859187483287874	1.2900340453903191e-84	299.31177655830683
K562	ZNF318	63364	10899	59	28.781929366807507	6.5618788196244457e-62	296.55945639597248
HCC1143	STAT3	88680	29963	83	18.51004923248485	7.5668723689487331e-71	295.22636850878833
HT29	PPARG	69795	18042	67	23.714434163966875	1.3818529509972376e-64	291.69079999218874
NCI-H441	SMAD3	47576	45592	103	14.0680950449224	1.4170564120737266e-75	285.49918683985334
293T	ZNF561	77090	1695	25	112.31044146513649	1.2126896107721162e-41	278.69483019677056
MDA-MB-231	JUN	55299	72133	127	11.203798952116298	1.3949631308412958e-80	278.36935405804852
NHEK	POLR2A	45487	12180	54	29.101552411882665	4.0883291010611337e-57	274.218417711462
NCI-H3122	NKX2-1	35474	63917	113	12.218240343423048	3.8174362681457186e-76	272.33255373260718
HEK293	ZNF264	63773	3556	35	56.450414947695386	1.9814180625915075e-47	271.76079921372494
LoVo	FOXO4	42849	174	13	515.78387837338857	1.2198156614257647e-30	269.54112156046084
NCI-H441	TTF1	47578	89735	141	9.9013152181871629	5.0485351823478771e-82	268.89905032615066
K562	NCOA1	64888	14605	61	22.805235461805133	4.888149663196047e-58	258.54607048418943
VCaP	SUMO2	55715	65938	110	11.699010884260735	2.2050007634196683e-72	254.26013283601475
K562	ATF3	64077	41347	105	12.12345836154784	9.2691074692546488e-71	252.0997124673344
K562	TRIM28	2146	2909	30	63.003904403073285	2.8129331421589305e-42	248.36472023060891
HEK293	TRIM28	1195	6987	40	38.381548065180382	1.884357861325657e-47	245.8820232869492
K562	HMBOX1	64414	50450	97	12.625372711567067	2.9346359739297022e-67	243.39259069553682
RT112	BRD4	85706	48422	106	11.586212320923467	1.6419777363925367e-69	243.10807960013502
HEK293	ZNF264	63774	4026	34	48.585971305399418	5.8531808413977822e-44	242.20929911969571
HEK293	ZNF639	62649	16930	63	19.766319714593191	3.7472552668953696e-56	238.60863323847425
K562	ATF3	64076	53092	121	10.059778505425697	5.2881651324148434e-72	237.38893114987065
CFPAC-1	KLF4	67601	31369	90	13.159382391747855	3.7977789463564237e-64	235.7985691637037
K562	JUNB	64537	11783	47	27.696778893886943	5.2140612968705512e-49	231.35421419404779
K562	ZNF318	63365	11468	52	24.117546532987937	5.2335597802199806e-51	230.8918487131166
NCI-H441	TTF1	47579	71828	117	10.021483637138363	1.2126431586497192e-69	229.14825575248285
MDA-MB-231	JUN	55300	60246	107	10.80232790156302	3.2942978259126266e-67	228.25149301375675
A549	FOSL2	63983	12118	47	26.369083458433078	4.778742710300061e-48	223.39033778835583
CFPAC-1	ELF3	67597	67035	125	9.1035771704920645	1.9131857989742464e-69	218.96611458976061
HT29	NR1H2	69805	18014	57	20.019222630582469	2.4690808262637265e-51	218.79196307364252
K562	TRIM28	46305	44066	85	12.870952881663404	4.7837037303920822e-60	218.65717457156124
LoVo	NIPBL	38785	40677	86	12.682637588687426	3.3042229107206376e-60	217.98469796067163
A549	FOSL2	63984	10744	44	27.527145855983367	6.8951499396289622e-46	215.99745111980683
HeLa-S3	USF2	45741	37275	77	14.044868513395178	2.2515346876512723e-57	215.93872070679654
MDA-MB-231	FOSL1	75045	16688	52	22.013388955628688	4.6781005958982673e-49	215.566441113364
HCT-116	ZBTB33	46200	13174	48	24.319332162489733	2.0518768246813937e-47	214.95233576791281
PC-9	BRD4	81614	15891	56	19.718907020096484	4.0309590038628668e-50	212.47121535132815
A549	FOSL2	64484	10023	42	28.242851592325646	2.4672799381119023e-44	210.1813898203279
HCT-116	POLR2A	88091	22512	75	14.009944485719759	7.1982558861300446e-56	210.00459604239484
HEK293	SP3	62841	21557	69	15.109958407240157	1.0135084061444779e-53	207.6008443159669
HEK293	ZNF280D	63618	11694	48	23.212910716679506	1.7520595700584024e-46	207.5904084213451
293T	PRDM9	73981	222	12	310.75096940973714	8.6541412479250974e-26	207.51013832959913
HEK293	SUMO2	41743	80969	111	9.4597932789076697	7.002982224734972e-64	204.73550824017942
HEK293	KLF8	64091	25823	68	15.073536589663044	6.3769819752880581e-53	204.28991969299247
H3122	BRD4	85404	26366	74	13.749587439332631	1.2918091370922257e-54	203.77061083054484
K562	FOS	45959	22399	58	17.916515842866616	1.4502419437855609e-49	203.32558013254603
K562	FOS	1992	22399	58	17.916515842866616	1.4502419437855609e-49	203.32558013254603
A549	FOSL2	63919	18360	54	19.295053999641041	6.2084639078160524e-48	201.58147187344699
N87	BRD4	81612	26629	73	13.738128696011289	6.8219689652188901e-54	200.97386082214269
A549	FOSL2	64485	11061	43	25.643663098343726	1.2848438017147956e-43	200.75333226219361
U2OS	POLR2A	47493	31249	73	13.71441100232428	7.566561484351588e-54	200.6713754919857
K562	PKNOX1	62762	58481	105	9.7028502833249437	1.0941348416886482e-61	199.85483511495881
HCT-116	YY1	46204	45823	83	11.997140083281	2.0878787496269955e-56	199.59262165573055
K562	NFE2	63878	44567	86	11.488810080481993	7.372703494217224e-57	197.70705812097203
K562	DPF2	64319	61244	109	9.1829491882857415	1.4205570788561767e-61	194.64870245522305
HT29	NR1H2	69806	24334	61	16.017496389177783	3.1346939804051701e-49	194.09169826757452
LoVo	ETV5	42714	17529	54	18.407578666755537	6.8517215905141016e-47	193.99249330791342
A549	FOSL2	64789	15904	50	19.66678815701723	6.310290040081464e-45	189.95766220134368
HepG2	RAD51	62652	7074	37	28.966231636122981	1.2083393563647567e-39	188.99656999814753
K562	SUMO2	55338	44233	83	11.328295802650736	1.5548002323226594e-54	188.42916521605438
K562	CHAMP1	62619	33659	79	11.851794368411692	1.870030745502331e-53	188.08308694298738
LS180	CDX2	5461	48526	81	11.536975297819719	7.005890416289292e-54	187.53947109421635
HEK293	ZNF16	62681	3596	28	43.233829773476735	4.3925977242821012e-35	186.70050042142876
HEK293	ZNF280D	63619	13455	48	20.106472690264223	1.2176756445342392e-43	185.8019718108367
LoVo	JUN	42727	30485	70	13.153912008168378	1.388075813366309e-50	185.3415913447491
HEK293	INSM2	63428	17396	55	17.020994105634731	5.82601516291266e-46	184.97540534436221
GM12878	BCL3	46130	56942	89	10.429205999966191	2.2837634238301549e-55	184.82750017905339
HCT-116	POLR2A	82336	22292	67	13.580907133899125	2.2483309920263821e-49	183.08766033388389
K562	ATF3	46276	45504	78	11.639761726856475	2.8518836364716816e-52	182.51984328538267
HEK293	SP3	62840	23696	68	13.32297746217705	1.4878019398893062e-49	182.41178518051549
K562	SMARCE1	62880	38902	83	10.901406513610745	2.7661536276573136e-53	181.1385449601396
K562	JUND	45880	90742	113	8.3736751558225446	9.8078361512778369e-60	180.91163155741961
K562	SMARCE1	62879	55710	101	9.162652107542538	2.7360857314346696e-57	180.76165496572161
A549	FOSL2	63298	15964	48	19.368497411384226	6.5738437201398055e-43	180.35582426358405
K562	DPF2	64320	53026	100	9.179003315971034	7.8913160804463035e-57	179.43585136356034
293T	ZNF90	77019	311	11	264.50405263906305	5.2423220637765444e-23	179.29424612138406
MCF-7	RCOR1	63458	8161	38	25.486704567112977	1.2060128889411334e-38	177.14352200971539
HEK293	TSHZ1	63014	7960	37	26.252331715051376	3.9660787374948219e-38	176.32530027479488
HEK293	SUMO2	41742	47198	78	11.198636193619521	4.3325982407226773e-51	175.5285800757247
DU145	JUND	49242	1486	18	84.197867623735206	3.9905741872546188e-28	175.2358810310492
NCI-H441	SMAD4	47582	10886	40	23.431052271523768	3.3643535154450931e-39	175.06605707622134
A549	FOSL2	63829	14931	45	19.802329060742441	9.3618684089442128e-41	172.42728744312641
K562	CHAMP1	62620	42535	84	10.268600343364373	6.1619651772338763e-52	172.07512845556809
HEK293	INSM2	63427	22937	61	13.988545994356725	6.7101256912889557e-46	171.93732814141863
U2OS	MYC	70569	34214	61	13.943280971713582	7.8734578506081741e-46	171.46214448227365
PC-3	JUND	5925	8387	34	28.22746220389477	3.3551639918861146e-36	170.95156181141978
K562	MAX	46292	121041	131	7.1123851732814716	1.6172249999652713e-60	169.22911737239815
HEK293	TSHZ1	63015	18982	53	15.964939054215336	5.4194954432260496e-43	168.93039849000297
HEK293	ZNF639	62650	5074	30	32.688811336271428	5.8974893051209481e-34	167.16763584711509
K562	JUND	7488	102324	119	7.5272077163298015	6.1634446442673997e-58	166.60260076821788
OCI-Ly7	BACH2	39577	14469	44	19.314859180409357	1.9354404093359187e-39	165.36891104386608
HEK293	KLF1	64685	33499	73	11.222321609141501	4.7002232239416832e-48	165.09381398129627
LNCaP	TCF7L2	43061	22553	54	15.120255494505495	1.3980150642241941e-42	164.0030705470112
ECC-1	USF1	46098	54321	82	10.005974847239782	5.8219357971611566e-50	163.59733307423494
A549	FOSL2	63080	11801	39	21.95226975475374	3.2677066655022956e-37	162.59141331719626
H1	MAX	46180	108759	122	7.2460284280236786	1.4463250670449242e-57	162.40194631488121
HCT-116	POLR2A	88099	23854	67	11.963746426769799	5.2891943065605336e-46	162.1173107103911
SW480	TP53	81528	74321	112	7.7017097506672272	9.3671668849813033e-56	162.06845023997785
HCT-116	PAF1	84915	20824	61	13.094423801356823	2.7533987343355169e-44	161.64644781893626
WM451-lu	SETDB1	2976	3103	22	50.327670856245092	2.7946787277384782e-29	161.42187877112912
HepG2	JUN	45830	36460	64	12.434667393919559	4.8017349771179224e-45	161.15555509168777
WI-38	SUMO2	35725	13633	40	20.444117965473115	5.9689326690976599e-37	157.7057603056927
HEK293	ZEB1	64829	9299	38	21.707640393282297	4.0464151733443521e-36	157.14924404798252
HCT-116	H2AZ	83065	123036	129	6.7682185721802099	2.2690632102756968e-57	156.26853998826436
K562	JUN	45952	21884	50	15.554007327684909	3.7588980804061944e-40	156.09178871594893
HEK293	KLF7	64011	9772	39	20.735997451455003	2.7361112010002738e-36	155.55430782633324
HepG2	JUND	46232	64708	88	8.9169391228045836	1.7122321007092174e-49	153.93362801905607
VCaP	SUMO2	55723	42658	69	11.017426342763299	4.4481685189657272e-45	153.53337166797131
A549	FOSL2	64790	11132	37	21.645187092029051	3.5703367573219276e-35	152.8072990353475
H1	TRIM28	48930	46581	79	9.6904425842117465	2.8761533370355798e-47	152.49511389978938
K562	JUN	45930	15499	42	18.409643305486885	6.631511273465707e-37	152.03568543843207
K562	ZNF143	45946	56198	79	9.6120789732223884	5.031714363756393e-47	151.15688321833246
H1	BACH1	45690	32270	60	12.18430852109072	6.8080309391264293e-42	148.48733483300475
LS180	VDR	5451	5265	26	33.316971101417664	7.8420419208895673e-30	147.22137184985842
Detroit	RELA	83024	27993	61	11.843405755986449	7.2638266545112441e-42	146.70158191284541
HEK293	SUMO2	41741	78632	94	8.1080022604678401	2.948293485880571e-49	146.53018137575915
K562	RAD51	63793	34640	68	10.639224711954025	1.5699651919687696e-43	146.01856435588699
HepG2	JUND	45828	99167	103	7.5285227034778135	9.1200535142639985e-51	145.73484215814196
A549	FOSL2	63081	18049	45	16.110972491057623	5.7411909035210866e-37	145.32537552207679
K562	RAD51	63794	15645	45	16.019433747114807	7.3489210016359802e-37	144.59838486415511
K562	MEF2D	64127	17157	48	14.799991878166123	1.1762502375226988e-37	143.5643363207739
A549	FOSL2	62718	20003	47	15.139194165414827	2.4074745371571774e-37	143.55220638268183
HuCCT1	SMC1A	56558	126000	127	6.4240692406934983	3.3894486483041256e-54	143.48572723807164
MDA-MB-231	JUN	56634	25130	53	13.30923370934536	4.0491614831296667e-39	143.37175130645206
K562	E2F6	46297	47342	75	9.5658753558959422	1.1923439139573559e-44	143.0985593476548
293T	ZNF785	77038	294	9	240.67089443544813	1.1742966970827693e-18	141.84451489713289
U2OS	FOXM1	32889	511	11	149.90647498776767	2.4383700453809329e-20	141.76045317366713
HEK293	KLF17	62617	30642	65	10.678381180880177	8.2059603391223489e-42	140.37485026569576
K562	TAL1	62734	35504	66	10.512597222294474	5.1114139929192718e-42	140.14516216504595
CFPAC-1	ELF3	67615	78437	109	6.9739323128184685	2.0429802358154225e-50	139.22926647215402
A549	FOSL2	63079	7787	30	24.820044202827003	1.6392147152187812e-30	138.0085124207742
CFPAC-1	KLF5	67599	53274	89	8.0369284759537827	1.5949458332949326e-46	137.69605026053559
K562	CBX1	64917	19109	45	15.041417474532778	1.0209233634590545e-35	136.84523088073949
HCT-116	SMC1A	85288	7426	31	23.455750724291178	9.4880485521483706e-31	136.65998092616128
OVCA429	GRHL2	68002	34487	58	11.571494207961385	2.1600789501418021e-39	136.58611226229704
K562	TAL1	62733	24604	55	12.178982230352677	1.4232638398647921e-38	136.48742696102806
K562	ZBTB40	63069	42555	80	8.6585918201771861	2.1999226934333916e-44	135.95552412910588
HeLa	LARP7	73297	89192	96	7.4996840178544231	1.9177061152410161e-47	135.79900187150512
HEK293	ZNF488	63395	4708	26	29.479332540190963	1.7117353686681254e-28	135.54614304784109
GM12878	USF2	74645	60026	80	8.6337784273544198	2.643557154007903e-44	135.52664750189711
HEK293	KLF8	64092	31582	67	10.03988845270734	2.0430715684340118e-41	135.40200297299373
HEK293	KLF17	62618	27391	60	11.040225899810801	1.4697574065614062e-39	134.54375803543358
K562	ZBTB40	63068	53046	89	7.8738456301808393	7.6651078945343664e-46	134.31187627314881
HEK293	KLF1	64686	34104	66	10.086750598762739	5.8875032901223436e-41	134.14272259366372
293T	ZNF667	73935	337	9	209.38816516394894	4.0229958052912992e-18	134.11955057209058
U2OS	POLR2A	47494	29515	57	11.510712515699785	1.248652240805793e-38	133.60645175099698
A549	FOSL2	64222	10456	33	20.992699910958279	3.9793701904522772e-31	133.51201633874144
K562	NCOA1	64887	19980	50	13.0555142701336	1.2441639062408891e-36	133.08547367628347
HeLa-S3	JUN	45744	38555	62	10.551201161219929	1.0410672034623077e-39	132.51466212561735
293T	ZNF891	77020	312	9	203.34028392455915	5.2762661664528358e-18	132.48091829866465
HCT-116	POLR2A	83951	22757	60	10.834798616740246	4.1036586743276381e-39	131.95857922222016
A549	FOSL2	63828	13283	37	17.978023338701988	2.3597748023647932e-32	131.82701497801643
293T	ZNF548	77095	673	11	127.08464648954464	1.4416501727492662e-19	131.69289837247525
K562	ARNT	62869	21506	53	12.147457609562577	3.4389584319545119e-37	131.36302998158663
K562	JUN	45888	29897	53	12.096697132716567	4.1475367103630773e-37	130.85011942699975
K562	KDM1A	64822	71543	102	6.9636632224906423	2.1706934473800147e-47	130.65035824941679
K562	SUMO2	55348	7398	28	25.183004080439979	9.6082774088355978e-29	130.40337189994982
HuCCT1	MED1	56555	39562	66	9.8230237555698654	2.7775823246657604e-40	130.38428711251031
HCT-116	POLR2A	86928	22283	56	11.418251977626314	8.3118766110676401e-38	130.27310507991809
LS8817	ATRX	84171	524	12	103.60671881724514	3.5419389252371228e-20	130.22232053403532
HEK293	ZNF8	63007	8592	33	20.305213805322989	1.1406917457173251e-30	130.06502297894309
VCaP	SUMO2	55716	47362	67	9.6314237014676785	2.3849089946424523e-40	129.47647966584297
293FT	EMX1	44562	53995	72	8.995035501190511	2.7964741734483306e-41	128.51892072585982
293T	ZNF25	77153	250	8	250.34070245956551	7.8584148964906162e-17	128.3179298624933
293T	ZNF181	77166	386	9	183.77020062013597	1.2762923926121806e-17	127.07297185295748
H1	JUND	45696	55015	72	8.8808248295832062	6.2685925033454626e-41	126.66680214899546
A549	FOSL2	62627	4485	22	33.735238339464253	1.4525848904636575e-25	126.08155096045056
A549	FOSL2	63299	6544	26	26.547065719983344	2.3159543628386017e-27	125.99762541040181
HEK293	ZBTB49	64871	874	13	82.353377242871233	1.6631363007640549e-20	125.86918732958684
MCF-7	ESR1	33520	79419	90	7.3903712559448387	3.2785250149963816e-44	125.48039492570579
A549	FOSL2	63917	12501	35	18.056022598455101	9.3972159359118589e-31	125.34495905958636
293T	ZNF432	77124	740	11	113.54748680773945	4.8876440090618949e-19	125.01129986421532
A549	FOSL2	62755	13341	36	17.407087814201418	4.7602450464595943e-31	124.97677269523957
HEK293	ZEB1	64828	15179	43	14.134490373577618	3.9537421894465639e-33	123.81662551348259
PC-3	DAXX	54104	77587	87	7.4992791645575423	2.5597399121910622e-43	123.80380892322339
A549	FOSL2	63170	8661	29	22.404559913940901	2.5872356451607166e-28	123.7483066917441
K562	SMARCA4	63970	60056	89	7.353534439146765	1.3756523722546822e-43	123.37413846370591
HEK293	ZNF800	64713	8014	30	21.284766483699489	1.3341492097896749e-28	122.97661155602877
MCF-7	JUND	46308	28380	51	11.767359578313631	3.1524220840047871e-35	122.71161788380921
MCF-7	SREBF1	62957	7543	30	21.183848305857431	1.5325854645791197e-28	122.52022222126329
MCF-7	E2F4	36807	6789	26	25.352702331671875	7.2952036674139436e-27	121.90456101816751
