cancer_type	repeat_family	repeat_family_size	overlaps	odds_ratio	giggle_score
LIHC	MER11B	1010	35	9.8027810929220927	70.981414292286832
MESO	LTR10F	448	15	24.650642182544551	69.778522425623072
HNSC	LTR10A	334	17	20.296789409616558	67.887796367072334
PRAD	LTR10A	334	19	17.645528858062921	67.539986550811167
LUAD	LTR13	532	34	9.6392493806248094	67.232570734747617
STAD	LTR9	833	28	11.087787191915556	64.938634145376663
THCA	LTR13	532	25	11.911972754609767	62.209047129330419
BLCA	LTR3A	178	14	23.275496346544951	62.01693198922687
CHOL	MER11B	1010	19	15.135430251231368	59.744143831799865
LIHC	LTR10A	334	15	19.991696238467	59.46878345666933
ESCA	MER44B	2660	49	6.3546518179489535	58.858030417296706
COAD	LTR5B	539	22	12.475565768409158	57.530866733770963
STAD	LTR13	532	25	10.59674167504091	55.351529974950204
ESCA	SVA_A	1618	45	6.4620865702582515	55.246277334697034
ESCA	LTR10C	516	21	11.73340514964165	51.847308660509869
BLCA	LTR5B	539	25	9.6543714810073524	50.21541458470588
LUSC	MER11D	266	18	12.824866938829699	48.289759418994737
LUSC	LTR10C	516	22	10.166787910852458	46.915704413130605
CHOL	LTR13	532	12	19.350030070377478	46.859966180433703
BLCA	MER11A	555	25	9.0475320117696949	46.805572088514937
COAD	LTR9	833	21	9.9900214939682819	44.234010220660293
ACC	MER51A	651	17	12.195166018755426	44.009701124756115
HNSC	LTR9	833	21	9.9145211961673763	43.882919812074303
ESCA	MER11A	555	23	9.1203270521902784	43.607629053634165
CHOL	MER11D	266	8	29.546269067241102	43.01251275203905
STAD	LTR10C	516	18	11.257331335287498	42.940673194217373
LUSC	LTR5_Hs	674	29	7.4182897287119438	42.888689114328907
BLCA	MER51A	651	22	9.2680407849128237	42.610501657848268
PRAD	LTR2B	355	15	13.168267446743874	41.751097394032795
CESC	SVA_A	1618	16	12.084770925045749	41.256016046997314
LUSC	MER44B	2660	47	5.039914706551369	40.402279874945765
LUAD	MER44B	2660	50	4.8118650408651042	39.838819409431489
PRAD	LTR3A	178	10	18.877399086062454	38.285765726443576
LUAD	HERVE_a-int	270	22	8.4536721708687477	37.913118296383265
KIRC	MER51A	651	12	14.787080617831073	37.536889050283753
BLCA	MER44B	2660	42	4.9689790436695587	35.477977002410169
BRCA	MER11B	1010	55	4.2711548345335988	35.228170329844535
STAD	HERVE_a-int	270	17	9.7829744173544562	34.932986231442951
KIRC	SVA_A	1618	21	7.9683719777176547	34.519915342595153
KIRC	LTR5_Hs	674	14	11.479671406832896	34.455311584069234
ESCA	LTR13	532	21	7.9537054605736204	34.207815030336636
CESC	MER11D	266	6	28.047184621633786	31.458919634738353
BLCA	MER41B	2934	46	4.3476210163910727	31.07213389434204
PCPG	LTR9	833	16	9.1123404354406787	30.897492167455006
CHOL	MER44B	2660	16	8.9145064244449443	30.239564813183867
MESO	MER41B	2934	25	6.2410602520045817	30.0684287028595
STAD	MER11D	266	12	11.578702139196446	29.795068849766642
LUSC	LTR2B	355	14	9.8481857197690506	29.384309726151628
ACC	MER44B	2660	28	5.6469366455640833	29.165322913323076
PCPG	LTR13	532	15	9.1048039986587472	28.946565239727356
SKCM	LTR3A	178	9	15.084892901763288	28.761346440951381
STAD	MER51A	651	16	8.3109466851203919	27.847032774531332
BLCA	LTR13	532	20	6.9109036594791871	27.515287064461643
HNSC	MER11B	1010	24	6.0262896253827094	27.454466265799055
BRCA	LTR3B	331	18	7.4601970392490111	27.218332433016162
BRCA	LTR13	532	32	4.9711640339569039	26.914307878284855
COAD	MER11D	266	10	11.650954055671953	25.212210113687976
KIRP	MER44B	2660	34	4.4979914101917515	24.682047640757862
ESCA	MER51A	651	16	7.4346983271705955	24.431815669391322
LUAD	LTR5B	539	20	6.280037886054096	24.298226436900681
LUAD	LTR10C	516	17	7.067190026714159	24.267482241849276
LIHC	SVA_A	1618	25	5.3439122431524657	24.113463923273697
LUAD	LTR9	833	22	5.7927601710681813	23.904418748749763
COAD	LTR10C	516	12	9.1173029271296429	23.449560197060868
PRAD	LTR3B	331	10	10.642288040915894	23.107135136361923
ACC	MER41B	2934	29	4.6737215045990066	22.608969079582812
PRAD	LTR13	532	17	6.6736564022124991	22.574085998513025
KIRP	LTR5B	539	16	6.9205480616868877	22.331357592521411
MESO	MER44B	2660	19	5.9816559453483524	21.853746324580368
SKCM	LTR13	532	18	6.2398797114890989	21.81277482395205
LUSC	HERVE_a-int	270	16	6.7998193076397611	21.643301720640528
CESC	MER44B	2660	12	8.3691268358248863	21.413011630034183
COAD	LTR5_Hs	674	16	6.6741429583247758	21.361781272898315
LUAD	LTR13A	237	12	8.2605456789475067	20.866455198382353
BLCA	Harlequin-int	617	23	5.0048777976992165	20.029737811040306
ACC	LTR10F	448	9	9.8433627624532232	19.344884032371343
COAD	MER51A	651	12	7.5669337064543702	19.007254173931698
ESCA	LTR7Y	467	11	8.0144395327100018	18.692619568963538
ESCA	MER11D	266	10	8.693912406637148	18.646626371285427
COAD	HERVE_a-int	270	11	7.6373100347670286	17.586911014880509
KIRC	LTR3A	178	4	20.95372535022754	17.285149291292238
LIHC	Harlequin-int	617	16	5.7022410019364456	17.28134298447524
HNSC	LTR7Y	467	9	8.838735145363394	17.258722698905308
BRCA	LTR5B	539	25	4.3170027661411075	16.992051459996534
HNSC	MER11D	266	8	9.3855179405905567	16.417785010555916
LUSC	MER11B	1010	26	4.0522416521689202	15.904073696946192
COAD	MER44B	2660	24	4.2087759412485948	15.864655354133279
STAD	MER44B	2660	27	3.9380051906511304	15.738692900481846
HNSC	LTR13	532	12	6.1395348079769425	14.595266401594931
THCA	LTR3B	331	7	9.3142628205128197	14.380938160905975
KIRC	LTR10A	334	5	12.81226761576616	14.288240198271254
LUSC	MER51A	651	14	5.4085445109363555	14.158005144225532
KIRC	LTR9	833	8	7.8466324451169456	13.539715375717663
PRAD	LTR13A	237	8	7.8263968494221778	13.422690710188303
LUSC	LTR9	833	16	4.7338511927457549	13.131977293104262
KIRP	SVA_A	1618	25	3.6664981475488325	12.780185268470701
ESCA	LTR9	833	14	5.036561022349284	12.762828739818247
HNSC	LTR2B	355	7	8.2679426302352095	12.639716055606651
KIRC	LTR5B	539	7	8.2272326454033777	12.587153164683731
BRCA	LTR9	833	25	3.6182650294301029	12.389806930115077
STAD	LTR5_Hs	674	14	4.896189343898512	12.208537938037709
COAD	LTR13	532	11	5.6988847172738026	12.162399032356358
BRCA	LTR10F	448	16	4.4981416194348798	12.030410197572888
SKCM	MER41B	2934	33	3.1342155259018911	11.990293664145768
LIHC	MER51A	651	9	6.4101783528010321	11.816628230109799
COAD	MER41B	2934	25	3.5022984156402432	11.71012336337196
COAD	PABL_A	676	10	5.7976603044631529	11.411595468500293
BLCA	LTR5_Hs	674	15	4.2677938104260802	10.428626468413033
LUAD	MER11D	266	9	5.8425408583202589	10.397031258242524
LUAD	MER11B	1010	24	3.3591638443126843	10.299857809184277
SKCM	SVA_A	1618	25	3.2910857256546171	10.282529855863299
HNSC	MER51A	651	9	5.7479847565680906	10.224653018831416
KIRC	MER41B	2934	15	4.193840190271457	10.175447414280604
HNSC	LTR10C	516	8	6.2124444198219813	10.158801891044449
LUAD	MER51A	651	13	4.5233314673620821	10.062724527525426
BRCA	MER44B	2660	48	2.5425172406277197	10.041536317652419
ESCA	HERVE_a-int	270	10	5.1992753091313002	9.7184932518469112
LIHC	MER11A	555	9	5.4864790108090116	9.5776021945397406
LUSC	SVA_A	1618	26	3.0942546442830663	9.3283257030691522
LUSC	MER11A	555	13	4.3151734689778829	9.3030124702598262
BLCA	LTR9	833	13	4.2830462101119302	9.2115734674597674
CESC	LTR7Y	467	3	13.481845277345503	9.2097656248564926
CHOL	HERVE_a-int	270	4	9.6810004781257462	8.8346725472780165
GBM	MER51A	651	5	7.8795940452649829	8.7496148597737499
ACC	LTR13A	237	5	7.703434428023562	8.5048481372535886
BRCA	HERVE_a-int	270	17	3.5519406786426528	8.2607407426640836
ESCA	LTR3B	331	6	6.4686473792734764	8.1790322581216466
COAD	LTR3B	331	5	7.4030946771357344	8.1335324754881027
LIHC	LTR13A	237	5	7.3874729224303701	8.1028009259949823
BRCA	MER11A	555	20	3.2358952432168748	8.0175574487479381
KIRC	HERVE_a-int	270	5	7.296010747401616	7.9885307112299593
BLCA	MER11B	1010	19	3.2864931406346263	7.9563124279238572
BRCA	MER39B	1284	28	2.7967408508544631	7.8706428967750279
LIHC	HERVE_a-int	270	7	5.549150211641348	7.6887065642676225
LIHC	MER11D	266	5	6.8961195327493909	7.4695191286525622
KIRC	LTR10F	448	4	8.2288200024797238	7.4490033038937322
CESC	LTR10C	516	3	10.566779400021	7.3579535751550081
THCA	MER51A	651	8	4.8792974454087474	7.2498164111096576
GBM	LTR10C	516	4	7.8721868878739159	7.0926172258661622
MESO	LTR7Y	467	4	7.8313674693671942	7.0507319902004836
LUSC	LTR13	532	12	3.8164957579049559	6.9845503209245411
ESCA	LTR5_Hs	674	12	3.7833557181454727	6.8854504918879201
STAD	PABL_A	676	9	4.3905491433969654	6.8481268426625481
LUSC	LTR5B	539	11	3.9287345087239851	6.8006594247770804
PCPG	LTR10F	448	5	6.0224174212254349	6.3116752793378322
KIRP	LTR9	833	10	3.7412022699747123	5.7281656905996739
SKCM	MER11A	555	10	3.7259209646800886	5.6745326276622879
STAD	LTR13A	237	5	5.5680376314155273	5.6729158156244838
CESC	LTR2B	355	2	11.808741939282276	5.5659190467543806
STAD	LTR2B	355	5	5.182848987609618	5.1429487485399136
HNSC	SVA_A	1618	15	2.926553761998568	5.0115833964946451
CESC	MER41B	2934	7	4.106227315243709	4.8901520053325423
STAD	LTR3A	178	3	7.1226774384364191	4.8305016268035573
CESC	Harlequin-int	617	4	5.7049619312164026	4.7869477741636549
BRCA	MER51A	651	15	2.8554870345142809	4.7136668079606499
CESC	LTR9	833	3	6.8056514085719657	4.5855554191804906
CHOL	LTR2B	355	2	9.5984120727518434	4.5658910163352428
PRAD	LTR5_Hs	674	10	3.29914290677188	4.4998630401396652
LIHC	MER39B	1284	9	3.4416283154360925	4.4620039102553822
BLCA	LTR7Y	467	6	4.2176671676343958	4.4381527942827311
GBM	LTR13	532	4	5.347644410102153	4.3855185243517678
ESCA	LTR2B	355	5	4.6368404506120928	4.3669310771187393
CHOL	PABL_A	676	3	6.5024511036623061	4.3394623186877674
LIHC	LTR5B	539	6	4.0696740736610257	4.1853129630184616
THCA	LTR10A	334	4	5.1103640170287834	4.1129551829466177
STAD	Harlequin-int	617	11	3.0050375623964287	4.024211139473104
CHOL	MER11A	555	3	6.1163946376662652	4.0207107758624354
CESC	LTR5_Hs	674	3	5.906110072810808	3.8453320780539817
ACC	LTR5_Hs	674	7	3.5729172507621523	3.8229539038005016
PCPG	LTR3B	331	3	5.8261882155650229	3.7766429021355711
CHOL	Harlequin-int	617	4	4.6356539997574329	3.5698880598802516
SKCM	LTR5B	539	8	3.2374812469064942	3.5545532956675451
LIHC	LTR5_Hs	674	7	3.4263357001430839	3.5336912903826065
SKCM	LTR5_Hs	674	10	2.916750123483892	3.4694334606525629
CESC	HERVE_a-int	270	2	7.089751049384498	3.2981008216704216
ESCA	MER41B	2934	21	2.2075408330052047	3.0705695685300763
BLCA	LTR3B	331	4	4.1893436319493897	3.0482056809528093
COAD	LTR3A	178	2	6.3647270187728875	2.9020922660164841
KIRP	HERVE_a-int	270	6	3.3171362571028715	2.8888481011675153
LUAD	MER11A	555	9	2.7450409720964952	2.7564344190718347
HNSC	MER41B	2934	16	2.2634769546999762	2.6847549098424765
LGG	LTR9	833	3	4.5342593048000337	2.6629616926214813
MESO	LTR13A	237	2	5.8613555786272888	2.6196646074805592
LIHC	LTR10C	516	4	3.8171579108564218	2.6151777369074677
STAD	SVA_A	1618	14	2.3044987892493345	2.4790085058846086
STAD	LTR7Y	467	4	3.6740108646202838	2.4474364416593316
GBM	LTR3A	178	1	9.6245011022873488	2.3743561434490182
COAD	LTR2B	355	3	4.116442782827181	2.2911096734514261
SKCM	MER11D	266	4	3.5280918295614758	2.2741753515428599
STAD	LTR3B	331	3	4.0927421485100037	2.2698584669952439
MESO	MER51A	651	3	4.0802635547626673	2.2599842561042911
KIRP	LTR10C	516	5	3.1523447019699433	2.2357168757939671
KIRC	LTR7Y	467	2	5.1330248801990059	2.1994214401296726
LUSC	LTR13A	237	4	3.4177293264749502	2.145132617208305
LGG	LTR5_Hs	674	3	3.9343486440897886	2.1297261744358489
PCPG	MER44B	2660	11	2.3851422277559622	2.1091868302134153
CHOL	MER39B	1284	3	3.8580825386554842	2.0621808457292862
LIHC	LTR9	833	5	2.95210539037399	1.9562587249082039
LIHC	LTR10F	448	3	3.722498540720518	1.940529343292921
BRCA	LTR2B	355	7	2.5426306463659696	1.8508808204155961
STAD	MER41B	2934	17	2.0156117272379444	1.7922670592318888
PCPG	PABL_A	676	4	3.1009819043167504	1.7838061953584836
GBM	LTR5_Hs	674	3	3.5116600641716182	1.7529855388003053
COAD	MER39B	1284	7	2.4832677219642396	1.7521858649721909
HNSC	MER39B	1284	7	2.4645316129220616	1.7190914809369645
PCPG	LTR5_Hs	674	5	2.7498714896226453	1.6770864282824224
CHOL	LTR13A	237	1	6.8205805156059292	1.6481860362402337
MESO	LTR13	532	3	3.3272210610702326	1.5891445926945653
SKCM	PABL_A	676	6	2.5015904719150392	1.566880478453613
ESCA	LTR13A	237	3	3.2916623242156002	1.5564635066642819
SKCM	LTR10F	448	4	2.8763307138512295	1.5281070495632618
STAD	LTR5B	539	5	2.6241730884113648	1.507126610893377
LGG	LTR3B	331	1	6.226883939208447	1.4807716336442701
STAD	MER39B	1284	8	2.3332109893397321	1.4579840761525108
MESO	LTR9	833	3	3.154973531350604	1.4376099384348105
PRAD	LTR9	833	6	2.404760908614207	1.4196981625113254
PCPG	MER11D	266	2	3.6583214746111734	1.3137197286184975
KIRP	MER41B	2934	17	1.8359234928006147	1.2774642900677958
CHOL	LTR5_Hs	674	2	3.5934038593494684	1.2742237671106973
LGG	LTR13	532	2	3.5794338585985441	1.2657701233019406
CHOL	LTR7Y	467	1	5.4517646573555787	1.2546291490442498
LUAD	MER41B	2934	22	1.7139883012753869	1.2144622693009123
LGG	MER11D	266	1	5.2286783134306356	1.188343310919326
ACC	LTR9	833	4	2.5617902080053185	1.1821957490460214
ESCA	LTR5B	539	5	2.3474499843776915	1.1473956654037526
LIHC	MER44B	2660	10	2.0356751310568577	1.1383160757738397
GBM	LTR10A	334	1	4.9274710971929228	1.0972739359482969
COAD	LTR13A	237	2	3.2936456961310778	1.0924889066262269
MESO	LTR5_Hs	674	3	2.7370113447503437	1.0756127061164419
PCPG	MER51A	651	3	2.7250286757283009	1.0655271846171041
LUAD	LTR3B	331	3	2.7194912352786234	1.0604497701734207
KIRP	LTR7Y	467	3	2.6715176032474655	1.020184533918046
BRCA	MER41B	2934	36	1.5261381768969813	0.98475779517739815
PRAD	LTR10F	448	3	2.5960120858433595	0.95690367894369351
THCA	LTR10C	516	3	2.5818632164044324	0.94517859510873512
GBM	LTR9	833	2	3.0311172974034721	0.93447089468469402
CESC	MER51A	651	1	4.3836631426764257	0.92988900819251469
LGG	LTR10F	448	1	4.2778847650171183	0.89721708978253494
CHOL	LTR10C	516	1	4.2746235379834667	0.896120384296699
HNSC	LTR5_Hs	674	5	2.2966941469000903	0.845513012428957
KIRC	MER11A	555	2	2.8654594153953652	0.83595036322583886
ACC	PABL_A	676	3	2.4058550525500282	0.80100972211308233
KIRP	LTR3B	331	2	2.7875460525830054	0.79017261578985616
PRAD	MER11B	1010	9	1.8425067199155027	0.78771101995511507
MESO	LTR5B	539	2	2.7818605972630439	0.78670427182264783
MESO	LTR10A	334	1	3.8414365807633875	0.76080709363238953
GBM	LTR10F	448	1	3.8187269893369455	0.75351443159393091
SKCM	MER39B	1284	8	1.9082683686438038	0.75129354424139183
LIHC	PABL_A	676	3	2.3072867486703665	0.72237413009802583
THCA	Harlequin-int	617	6	1.9534962574580825	0.71604432382324879
MESO	MER11A	555	2	2.6106577270900528	0.68708423108594774
SKCM	Harlequin-int	617	8	1.8322938376831432	0.67787475767233561
BRCA	LTR13A	237	5	2.0322215695325001	0.65593980501263218
LGG	LTR10C	516	1	3.5044470199793958	0.65447979279312368
PRAD	MER51A	651	4	2.2165220432373656	0.60696058483760662
KIRC	MER44B	2660	5	1.9540159283531462	0.59352030407490119
LUSC	PABL_A	676	5	1.9373672923390521	0.58052570159349854
BLCA	SVA_A	1618	12	1.6274505323363291	0.57178091131752612
LGG	HERVE_a-int	270	1	3.1355765351408054	0.53874615680294237
GBM	SVA_A	1618	4	2.0871709113918331	0.53796351994018613
SKCM	LTR9	833	5	1.820407703421528	0.48641559371537805
LGG	MER51A	651	1	2.9214180295774228	0.47154702383183576
SKCM	MER51A	651	4	1.9601163678879037	0.46616998518958588
PCPG	HERVE_a-int	270	2	2.1913968016262819	0.45393835946447843
ACC	LTR3B	331	1	2.8118972675758136	0.43791487237347526
LIHC	MER41B	2934	10	1.628939348471208	0.43560706516720773
PRAD	MER11A	555	4	1.8938136283993907	0.42726131206659458
BRCA	LTR5_Hs	674	12	1.5431479330135045	0.40992733921783495
LIHC	LTR3B	331	1	2.6967570822873963	0.40253722590767649
LGG	LTR5B	539	1	2.659848788000049	0.39104825637043697
LGG	PABL_A	676	1	2.6557822833275324	0.38975121296310316
PRAD	MER39B	1284	6	1.6754753912464089	0.36607712549436167
ESCA	MER39B	1284	6	1.6207493336214878	0.32902605607780203
LUAD	LTR7Y	467	3	1.9486690048453748	0.31972268790667185
THCA	MER39B	1284	5	1.7432364685559782	0.31440358502733804
GBM	LTR5B	539	1	2.3742592720398283	0.30541722907532748
CESC	MER39B	1284	1	2.3677768615234256	0.30332283962979972
GBM	MER11A	555	1	2.2282948156033493	0.26302516784846629
KIRP	MER51A	651	3	1.7436451941358275	0.23950908357350712
PRAD	Harlequin-int	617	6	1.6068289710033359	0.22951517815063929
LGG	MER44B	2660	3	1.7036656599889697	0.2233984707270801
LUAD	Harlequin-int	617	8	1.4868627771390555	0.22257236096229262
PRAD	SVA_A	1618	9	1.4157304119281715	0.17599862187706656
KIRC	MER39B	1284	2	1.8097277858297449	0.14120788989507037
COAD	Harlequin-int	617	4	1.4832662809065431	0.13256215371425316
HNSC	Harlequin-int	617	4	1.4720455453083519	0.12890250296942778
CHOL	SVA_A	1618	2	1.7085176807056255	0.12137418473256215
LUAD	PABL_A	676	4	1.4468379966777825	0.12064908499977159
HNSC	LTR5B	539	2	1.5515966146939988	0.090473511272619887
HNSC	PABL_A	676	2	1.5493260820943839	0.089988834726119106
ESCA	PABL_A	676	3	1.5563894093570643	0.080921151179757564
PCPG	MER39B	1284	3	1.4697955463857499	0.067445744352170419
LUSC	Harlequin-int	617	6	1.2847150707632813	0.063174231157047673
ESCA	Harlequin-int	617	5	1.3298430804991299	0.037688629752770755
LUAD	MER39B	1284	6	1.2035812343010919	0.02102123317466569
THCA	MER41B	2934	8	1.1280676980042703	0.011404821512395086
THCA	PABL_A	676	2	1.463774596500595	-0
THCA	MER11D	266	1	1.9171374381900699	-0
THCA	LTR9	833	2	1.2456465333020168	-0
THCA	LTR7Y	467	1	1.6401776508842891	-0
THCA	LTR5B	539	2	1.4658577967362614	-0
THCA	LTR3A	178	0	1.9667074668877969	-0
THCA	LTR10F	448	1	1.5695883383383384	-0
SKCM	LTR13A	237	1	1.4914646911865779	-0
SKCM	HERVE_a-int	270	2	1.2564220496971894	-0
PRAD	HERVE_a-int	270	2	1.4215579052682172	-0
PCPG	LTR7Y	467	0	1.036581759810755	-0
PCPG	LTR5B	539	1	1.2359079269454065	-0
PCPG	LTR3A	178	0	2.4915861291663157	-0
PCPG	LTR2B	355	0	1.2118353436356881	-0
PCPG	LTR13A	237	0	1.2932119242323719	-0
PCPG	LTR10A	334	0	1.2789022824037208	-0
MESO	SVA_A	1618	3	1.3003594555206659	-0
MESO	PABL_A	676	1	1.848178403376618	-0
MESO	MER39B	1284	1	1.0982017231419163	-0
MESO	MER11D	266	0	1.8119232475992686	-0
MESO	MER11B	1010	2	1.2656527437398706	-0
MESO	LTR3B	331	0	2.1598663849711643	-0
MESO	LTR3A	178	0	3.7299944398845613	-0
MESO	LTR2B	355	0	1.8142068267745886	-0
MESO	LTR10C	516	0	1.2167998019929047	-0
MESO	HERVE_a-int	270	0	1.0862104545216069	-0
LUSC	MER39B	1284	5	1.1483557520808561	-0
LUSC	LTR3B	331	1	1.5054690720394763	-0
LUSC	LTR3A	178	0	1.2956872600390246	-0
LUAD	LTR3A	178	0	1.1630286340182447	-0
LUAD	LTR2B	355	1	1.1344833606347176	-0
LIHC	LTR3A	178	0	2.3211568183932068	-0
LGG	MER11B	1010	1	1.2113171121033672	-0
LGG	MER11A	555	0	1.2455861066659877	-0
LGG	LTR7Y	467	0	2.2294253980886158	-0
LGG	LTR3A	178	0	5.3592895156715086	-0
LGG	LTR2B	355	0	2.6067086880577062	-0
LGG	LTR13A	237	0	2.7831358516725504	-0
LGG	LTR10A	334	0	2.7509961762112392	-0
KIRP	LTR3A	178	0	1.594510033410679	-0
KIRC	MER11D	266	0	1.9886931433482227	-0
KIRC	LTR3B	331	0	2.3704399457618281	-0
KIRC	LTR10C	516	0	1.3354533342936779	-0
HNSC	MER11A	555	2	1.4560269761795577	-0
HNSC	LTR3B	331	0	1.2054599076317982	-0
HNSC	LTR3A	178	0	2.0816064958557674	-0
HNSC	LTR13A	237	0	1.0802057715364506	-0
HNSC	HERVE_a-int	270	1	1.2151600753295668	-0
GBM	PABL_A	676	0	1.1833157521709563	-0
GBM	MER44B	2660	2	1.1398534709956496	-0
GBM	MER11D	266	0	2.3243178040089654	-0
GBM	MER11B	1010	1	1.0812261532498983	-0
GBM	LTR7Y	467	0	1.9902132181543943	-0
GBM	LTR3B	331	0	2.7702460303049823	-0
GBM	LTR2B	355	0	2.3269815865802168	-0
GBM	LTR13A	237	0	2.4843473607235795	-0
GBM	HERVE_a-int	270	0	1.3937881090040847	-0
ESCA	LTR3A	178	0	1.5660508256019021	-0
CHOL	LTR5B	539	0	1.6187453888151098	-0
CHOL	LTR3B	331	0	3.7848975583609334	-0
CHOL	LTR3A	178	0	6.5366411449175361	-0
CESC	PABL_A	676	0	1.9888200833186065	-0
CESC	MER11A	555	0	1.8690237683271105	-0
CESC	LTR5B	539	0	1.991304084811639	-0
CESC	LTR3B	331	0	4.6556991543142772	-0
CESC	LTR3A	178	0	8.040632249852294	-0
CESC	LTR13A	237	0	4.1762355411744121	-0
CESC	LTR13	532	0	1.7827240432783762	-0
BRCA	SVA_A	1618	17	1.0117834299801691	-0
BRCA	Harlequin-int	617	10	0.9999520348034171	0
BLCA	PABL_A	676	2	1.0633415038627998	-0
BLCA	LTR13A	237	1	1.488516424241084	-0
ACC	SVA_A	1618	4	1.0550388817729464	-0
ACC	MER39B	1284	2	1.0698175481654473	-0
ACC	MER11D	266	0	1.175332816006337	-0
ACC	LTR7Y	467	0	1.0069150486483986	-0
ACC	LTR5B	539	1	1.2004989768735503	-0
ACC	LTR3A	178	0	2.4202646874142464	-0
ACC	LTR2B	355	0	1.1771440368381085	-0
ACC	LTR10C	516	1	1.582255773867131	-0
ACC	HERVE_a-int	270	1	1.4135525823779949	-0
KIRP	MER39B	1284	3	0.94054124738088929	-0.0082973847697780547
LIHC	LTR7Y	467	0	0.96569035587809948	-0.010041618556657167
THCA	LTR2B	355	0	0.95653025925580215	-0.012783610090450649
